source_record_id,matched_record_id,entity_type,match_type,match_field,match_score,confidence_level
ACC009320,ACC002276,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006678,ACC003316,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009147,ACC000799,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008278,ACC000799,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006317,ACC000799,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009552,ACC004945,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005608,ACC000290,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008302,ACC000290,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006200,ACC004482,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005806,ACC000794,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005561,ACC000794,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002534,ACC000794,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001563,ACC000794,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009132,ACC001679,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006566,ACC001679,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003342,ACC001290,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006593,ACC003613,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004279,ACC003613,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005893,ACC000220,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007728,ACC002987,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007095,ACC002987,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009089,ACC008823,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009819,ACC003545,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008520,ACC003545,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004700,ACC003545,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009690,ACC004482,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007392,ACC003100,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007197,ACC000249,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005942,ACC000813,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008403,ACC000813,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007653,ACC001332,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006641,ACC001332,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005659,ACC001332,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007826,ACC004138,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007744,ACC004138,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006353,ACC003396,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006805,ACC000451,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007153,ACC005747,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001386,ACC000451,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005576,ACC003630,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004222,ACC003630,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007722,ACC002924,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007371,ACC002924,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007499,ACC003707,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009872,ACC002431,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005014,ACC002431,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007957,ACC007935,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007051,ACC006133,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004493,ACC000517,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006902,ACC000460,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008138,ACC003464,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006447,ACC003464,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009093,ACC001474,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008285,ACC002076,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002983,ACC002076,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006340,ACC001591,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006628,ACC003261,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008407,ACC000517,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005588,ACC002857,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007375,ACC001158,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007185,ACC001158,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009014,ACC007325,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004588,ACC002717,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003902,ACC002717,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008751,ACC002500,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009637,ACC000372,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002179,ACC000099,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008563,ACC005228,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005707,ACC005228,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007116,ACC000623,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007687,ACC003066,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007633,ACC003066,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005216,ACC003066,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004648,ACC003066,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009224,ACC003945,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009121,ACC003945,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005326,ACC003945,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006747,ACC001321,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003980,ACC000617,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002206,ACC000617,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005314,ACC003128,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009675,ACC000815,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009055,ACC006901,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006268,ACC001317,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002920,ACC001317,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009071,ACC000813,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002515,ACC000617,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008197,ACC006535,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007301,ACC001066,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008016,ACC001066,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008905,ACC000296,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006690,ACC000296,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008339,ACC004306,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009464,ACC003642,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008514,ACC003642,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005545,ACC003642,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005456,ACC003642,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004310,ACC003642,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009521,ACC005219,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007880,ACC005219,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008104,ACC005473,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008155,ACC002055,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003156,ACC002055,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002243,ACC002055,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008639,ACC005108,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007461,ACC005108,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005447,ACC002766,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006475,ACC000813,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002894,ACC001809,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002631,ACC000249,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009123,ACC003116,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004882,ACC000482,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004166,ACC000482,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008038,ACC003631,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007782,ACC000183,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001723,ACC000183,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007638,ACC000790,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004659,ACC000790,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009995,ACC003768,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001520,ACC001305,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008349,ACC002097,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005761,ACC002097,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005317,ACC000888,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004614,ACC004072,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009676,ACC000836,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001202,ACC000836,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001860,ACC000812,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000789,ACC000428,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007306,ACC006051,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005017,ACC000100,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002557,ACC001808,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006062,ACC002277,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008575,ACC003487,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008166,ACC003487,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004628,ACC003487,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006637,ACC000085,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003729,ACC000085,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000334,ACC000085,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006102,ACC000100,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007538,ACC003030,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007859,ACC001974,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008973,ACC000061,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004106,ACC000061,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008317,ACC003214,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005659,ACC003214,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003786,ACC003214,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003297,ACC000574,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009262,ACC001974,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006372,ACC006051,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003968,ACC003786,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003424,ACC000451,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009313,ACC000573,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007460,ACC000573,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001795,ACC000573,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006996,ACC006779,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009365,ACC001727,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003535,ACC001727,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006688,ACC004641,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007499,ACC003422,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003451,ACC001264,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008041,ACC003517,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007340,ACC003517,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006178,ACC003517,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003715,ACC003517,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007749,ACC001328,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008500,ACC002260,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007035,ACC002260,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009085,ACC008600,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001517,ACC000501,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002942,ACC000501,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002409,ACC001860,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009377,ACC004905,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006607,ACC004905,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005853,ACC004664,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004751,ACC004664,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008992,ACC004160,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004164,ACC004160,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003876,ACC003328,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004635,ACC002862,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008529,ACC001225,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002984,ACC001225,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009496,ACC006968,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009024,ACC006968,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007636,ACC006968,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007732,ACC005004,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005009,ACC002664,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003842,ACC001369,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005801,ACC001860,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC001724,ACC000486,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000454,ACC000249,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008751,ACC006686,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009416,ACC004311,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002292,ACC000143,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006741,ACC004674,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005147,ACC001326,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008845,ACC000209,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000867,ACC000209,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009139,ACC004736,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006223,ACC004736,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005294,ACC000143,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008890,ACC000295,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005949,ACC002036,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009925,ACC008975,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004826,ACC001930,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005135,ACC003669,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007720,ACC000764,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006297,ACC000764,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002788,ACC000764,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007949,ACC000295,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009658,ACC002433,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006317,ACC000143,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005349,ACC002761,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008060,ACC003116,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007702,ACC004030,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008448,ACC000387,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005752,ACC000387,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007892,ACC002539,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008150,ACC001858,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008208,ACC002491,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009927,ACC006647,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005003,ACC002491,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004646,ACC001716,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008047,ACC000073,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005386,ACC000073,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007857,ACC005616,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008298,ACC003831,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002497,ACC001856,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009187,ACC007008,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004429,ACC002491,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005398,ACC002433,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007345,ACC005968,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009153,ACC002406,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008257,ACC000474,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000830,ACC000474,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002677,ACC001672,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007594,ACC003070,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007797,ACC004556,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005171,ACC004556,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009747,ACC008952,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007118,ACC004638,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009501,ACC009199,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007867,ACC000544,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004616,ACC000544,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009633,ACC006684,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008914,ACC005774,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006456,ACC005774,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005381,ACC004695,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008447,ACC002478,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008977,ACC000544,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007257,ACC002538,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008796,ACC002538,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009834,ACC002538,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008772,ACC002406,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007747,ACC002406,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005489,ACC003775,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009730,ACC001975,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008333,ACC001975,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006020,ACC004476,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008843,ACC007568,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006819,ACC004177,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007610,ACC004020,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005461,ACC004020,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005984,ACC000906,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003363,ACC002322,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009547,ACC002140,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009256,ACC002140,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006865,ACC000019,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006735,ACC000019,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009188,ACC001677,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004619,ACC004311,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003265,ACC002260,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
