source_record,account_id,golden_record_id,id_format_valid
DUP00105,ACC001400,GOLD00312,VALID
DUP00106,ACC003332,GOLD01644,VALID
DUP00107,ACC005930,GOLD02517,VALID
DUP00108,ACC006453,GOLD01186,VALID
DUP00109,ACC000431,GOLD01394,VALID
DUP00110,ACC001837,GOLD01789,VALID
DUP00111,ACC008883,GOLD02435,VALID
DUP00112,ACC007571,GOLD00092,VALID
DUP00113,ACC000562,GOLD00361,VALID
DUP00114,ACC009147,GOLD00917,VALID
DUP00115,ACC000967,GOLD02743,VALID
DUP00116,ACC002095,GOLD02431,VALID
DUP00117,ACC004402,GOLD01692,VALID
DUP00118,ACC008702,GOLD02748,VALID
DUP00119,ACC001340,GOLD01662,VALID
DUP00120,ACC009090,GOLD02137,VALID
DUP00121,ACC005610,GOLD02171,VALID
DUP00122,ACC003273,GOLD02079,VALID
DUP00123,ACC002271,GOLD00202,VALID
DUP00124,ACC001854,GOLD01756,VALID
DUP00125,ACC003796,GOLD00276,VALID
DUP00126,ACC007687,GOLD01023,VALID
DUP00127,ACC009948,GOLD00207,VALID
DUP00128,ACC001505,GOLD01423,VALID
DUP00129,ACC005439,GOLD01392,VALID
DUP00130,ACC008429,GOLD02484,VALID
DUP00131,ACC007736,GOLD00005,VALID
DUP00132,ACC008335,GOLD01040,VALID
DUP00133,ACC003055,GOLD01351,VALID
DUP00134,ACC004629,GOLD00333,VALID
DUP00135,ACC002836,GOLD00644,VALID
DUP00136,ACC008104,GOLD01037,VALID
DUP00137,ACC000108,GOLD02659,VALID
DUP00138,ACC005961,GOLD01231,VALID
DUP00139,ACC002097,GOLD00766,VALID
DUP00140,ACC009452,GOLD00541,VALID
DUP00141,ACC003471,GOLD01137,VALID
DUP00142,ACC005959,GOLD02166,VALID
DUP00143,ACC007384,GOLD01687,VALID
DUP00144,ACC003835,GOLD02318,VALID
DUP00145,ACC002966,GOLD00226,VALID
DUP00146,ACC007115,GOLD00558,VALID
DUP00147,ACC004954,GOLD01943,VALID
DUP00148,ACC009875,GOLD01663,VALID
DUP00149,ACC002396,GOLD01850,VALID
DUP00150,ACC007331,GOLD01355,VALID
DUP00151,ACC005553,GOLD00303,VALID
DUP00152,ACC003212,GOLD02850,VALID
DUP00153,ACC006626,GOLD02883,VALID
DUP00154,ACC007213,GOLD02647,VALID
DUP00155,ACC008813,GOLD02926,VALID
DUP00156,ACC003133,GOLD02766,VALID
DUP00157,ACC003737,GOLD01742,VALID
DUP00158,ACC007249,GOLD01667,VALID
DUP00159,ACC002260,GOLD00716,VALID
DUP00160,ACC000559,GOLD01649,VALID
DUP00161,ACC000222,GOLD00242,VALID
DUP00162,ACC000246,GOLD02059,VALID
DUP00163,ACC000704,GOLD00623,VALID
DUP00164,ACC005234,GOLD01743,VALID
DUP00165,ACC005863,GOLD01581,VALID
DUP00166,ACC007848,GOLD02183,VALID
DUP00167,ACC004178,GOLD01641,VALID
DUP00168,ACC002821,GOLD02320,VALID
DUP00169,ACC008863,GOLD02042,VALID
DUP00170,ACC008455,GOLD02306,VALID
DUP00171,ACC009371,GOLD02355,VALID
DUP00172,ACC003185,GOLD00236,VALID
DUP00173,ACC001065,GOLD01634,VALID
DUP00174,ACC007140,GOLD02504,VALID
DUP00175,ACC000859,GOLD00565,VALID
DUP00176,ACC007108,GOLD01808,VALID
DUP00177,ACC009590,GOLD00306,VALID
DUP00178,ACC004884,GOLD01929,VALID
DUP00179,ACC001226,GOLD01216,VALID
DUP00180,ACC000639,GOLD02735,VALID
DUP00181,ACC009072,GOLD01167,VALID
DUP00182,ACC004529,GOLD00540,VALID
DUP00183,ACC001076,GOLD00528,VALID
DUP00184,ACC001896,GOLD00026,VALID
DUP00185,ACC008515,GOLD02838,VALID
DUP00186,ACC004056,GOLD00253,VALID
DUP00187,ACC000629,GOLD01813,VALID
DUP00188,ACC009259,GOLD01536,VALID
DUP00189,ACC006853,GOLD02095,VALID
DUP00190,ACC009662,GOLD01900,VALID
DUP00191,ACC001408,GOLD00152,VALID
DUP00192,ACC009793,GOLD02734,VALID
DUP00193,ACC009587,GOLD00560,VALID
DUP00194,ACC002253,GOLD00257,VALID
DUP00195,ACC002124,GOLD00411,VALID
DUP00196,ACC008869,GOLD00633,VALID
DUP00197,ACC009476,GOLD00258,VALID
DUP00198,ACC002842,GOLD02883,VALID
DUP00199,ACC005005,GOLD00468,VALID
DUP00200,ACC004810,GOLD01703,VALID
DUP00201,ACC008248,GOLD01762,VALID
DUP00202,ACC002051,GOLD02353,VALID
DUP00203,ACC004490,GOLD02080,VALID
DUP00204,ACC003161,GOLD01853,VALID
DUP00205,ACC003436,GOLD02073,VALID
DUP00206,ACC003246,GOLD00986,VALID
DUP00207,ACC004710,GOLD01004,VALID
DUP00208,ACC001214,GOLD01289,VALID
DUP00209,ACC006619,GOLD00236,VALID
DUP00210,ACC007362,GOLD01398,VALID
DUP00211,ACC003262,GOLD00940,VALID
DUP00212,ACC001835,GOLD02169,VALID
DUP00213,ACC006017,GOLD01998,VALID
DUP00214,ACC007773,GOLD02823,VALID
DUP00215,ACC003959,GOLD02648,VALID
DUP00216,ACC007470,GOLD00359,VALID
DUP00217,ACC000557,GOLD00477,VALID
DUP00218,ACC006597,GOLD00073,VALID
DUP00219,ACC003535,GOLD00731,VALID
DUP00220,ACC000251,GOLD01403,VALID
DUP00221,ACC001833,GOLD01881,VALID
DUP00222,ACC007120,GOLD02757,VALID
DUP00223,ACC003945,GOLD01022,VALID
DUP00224,ACC005627,GOLD00647,VALID
DUP00225,ACC004900,GOLD01377,VALID
DUP00226,ACC005079,GOLD01458,VALID
DUP00227,ACC005549,GOLD00113,VALID
DUP00228,ACC007693,GOLD02119,VALID
DUP00229,ACC004418,GOLD01541,VALID
DUP00230,ACC004936,GOLD02324,VALID
DUP00231,ACC002783,GOLD00958,VALID
DUP00232,ACC008361,GOLD01542,VALID
DUP00233,ACC000571,GOLD01404,VALID
DUP00234,ACC008540,GOLD02595,VALID
DUP00235,ACC009322,GOLD02461,VALID
DUP00236,ACC001855,GOLD00584,VALID
DUP00237,ACC006432,GOLD00408,VALID
DUP00238,ACC001432,GOLD02312,VALID
DUP00239,ACC004779,GOLD01356,VALID
DUP00240,ACC004830,GOLD02114,VALID
DUP00241,ACC002841,GOLD02069,VALID
DUP00242,ACC004002,GOLD01800,VALID
DUP00243,ACC000836,GOLD00761,VALID
DUP00244,ACC000716,GOLD01851,VALID
DUP00245,ACC001788,GOLD02485,VALID
DUP00246,ACC002809,GOLD01678,VALID
DUP00247,ACC002846,GOLD02914,VALID
DUP00248,ACC002800,GOLD00489,VALID
DUP00249,ACC000436,GOLD02871,VALID
DUP00250,ACC009204,GOLD01667,VALID
DUP00251,ACC003503,GOLD01971,VALID
DUP00252,ACC009572,GOLD01969,VALID
DUP00253,ACC007055,GOLD00615,VALID
DUP00254,ACC005994,GOLD01395,VALID
DUP00255,ACC000488,GOLD01578,VALID
DUP00256,ACC006033,GOLD01085,VALID
DUP00257,ACC005949,GOLD00875,VALID
DUP00258,ACC002918,GOLD00049,VALID
DUP00259,ACC004485,GOLD01261,VALID
DUP00260,ACC003391,GOLD01734,VALID
DUP00261,ACC007210,GOLD00997,VALID
DUP00262,ACC001616,GOLD01422,VALID
DUP00263,ACC003265,GOLD00716,VALID
DUP00264,ACC003198,GOLD01187,VALID
DUP00265,ACC004375,GOLD00230,VALID
DUP00266,ACC001765,GOLD02062,VALID
DUP00267,ACC006592,GOLD01844,VALID
DUP00268,ACC000789,GOLD00769,VALID
DUP00269,ACC003931,GOLD02122,VALID
DUP00270,ACC001925,GOLD00193,VALID
DUP00271,ACC001065,GOLD02785,VALID
DUP00272,ACC000479,GOLD00275,VALID
DUP00273,ACC004073,GOLD01297,VALID
DUP00274,ACC006440,GOLD00222,VALID
DUP00275,ACC000901,GOLD00938,VALID
DUP00276,ACC006726,GOLD02384,VALID
DUP00277,ACC003617,GOLD00074,VALID
DUP00278,ACC002963,GOLD02252,VALID
DUP00279,ACC003937,GOLD02389,VALID
DUP00280,ACC009151,GOLD00696,VALID
DUP00281,ACC003431,GOLD02751,VALID
DUP00282,ACC000485,GOLD02679,VALID
DUP00283,ACC000089,GOLD02344,VALID
DUP00284,ACC007129,GOLD00256,VALID
DUP00285,ACC007352,GOLD02159,VALID
DUP00286,ACC006580,GOLD02837,VALID
DUP00287,ACC006272,GOLD01329,VALID
DUP00288,ACC007748,GOLD01972,VALID
DUP00289,ACC003486,GOLD01345,VALID
DUP00290,ACC004852,GOLD02528,VALID
DUP00291,ACC000383,GOLD02845,VALID
DUP00292,ACC004733,GOLD00385,VALID
DUP00293,ACC003402,GOLD00102,VALID
DUP00294,ACC002326,GOLD02506,VALID
DUP00295,ACC006657,GOLD02441,VALID
DUP00296,ACC005940,GOLD00500,VALID
DUP00297,ACC000205,GOLD02663,VALID
DUP00298,ACC005448,GOLD02713,VALID
DUP00299,ACC008656,GOLD01850,VALID
DUP00300,ACC002848,GOLD00879,VALID
DUP00301,ACC002570,GOLD01414,VALID
DUP00302,ACC002261,GOLD02956,VALID
DUP00303,ACC009399,GOLD00389,VALID
DUP00304,ACC005106,GOLD01473,VALID
DUP00305,ACC007989,GOLD00419,VALID
DUP00306,ACC000917,GOLD02975,VALID
DUP00307,ACC000857,GOLD00023,VALID
DUP00308,ACC009328,GOLD01539,VALID
DUP00309,ACC007294,GOLD02776,VALID
DUP00310,ACC009730,GOLD02837,VALID
DUP00311,ACC003517,GOLD00721,VALID
DUP00312,ACC003729,GOLD00793,VALID
DUP00313,ACC009994,GOLD01690,VALID
DUP00314,ACC007401,GOLD02941,VALID
DUP00315,ACC003481,GOLD00207,VALID
DUP00316,ACC005504,GOLD02465,VALID
DUP00317,ACC009061,GOLD01483,VALID
DUP00318,ACC009859,GOLD01946,VALID
DUP00319,ACC009980,GOLD01900,VALID
DUP00320,ACC001907,GOLD01300,VALID
DUP00321,ACC005890,GOLD01248,VALID
DUP00322,ACC007061,GOLD00006,VALID
DUP00323,ACC008387,GOLD01326,VALID
DUP00324,ACC001867,GOLD02169,VALID
DUP00325,ACC000924,GOLD00643,VALID
DUP00326,ACC000141,GOLD00248,VALID
DUP00327,ACC008553,GOLD01946,VALID
DUP00328,ACC009241,GOLD02103,VALID
DUP00329,ACC003088,GOLD00012,VALID
DUP00330,ACC006683,GOLD02458,VALID
DUP00331,ACC005173,GOLD02549,VALID
DUP00332,ACC009898,GOLD02534,VALID
DUP00333,ACC008517,GOLD00654,VALID
DUP00334,ACC002781,GOLD00530,VALID
DUP00335,ACC004029,GOLD02766,VALID
DUP00336,ACC001111,GOLD01925,VALID
DUP00337,ACC001505,GOLD02085,VALID
DUP00338,ACC005216,GOLD01164,VALID
DUP00339,ACC008353,GOLD02179,VALID
DUP00340,ACC009824,GOLD02056,VALID
DUP00341,ACC007083,GOLD02388,VALID
DUP00342,ACC009116,GOLD01359,VALID
DUP00343,ACC008195,GOLD00011,VALID
DUP00344,ACC005181,GOLD00343,VALID
DUP00345,ACC001021,GOLD02534,VALID
DUP00346,ACC006037,GOLD00161,VALID
DUP00347,ACC002339,GOLD02419,VALID
DUP00348,ACC003958,GOLD02737,VALID
DUP00349,ACC008060,GOLD00914,VALID
DUP00350,ACC000363,GOLD01531,VALID
DUP00351,ACC001541,GOLD01803,VALID
DUP00352,ACC003877,GOLD02611,VALID
DUP00353,ACC005975,GOLD02486,VALID
DUP00354,ACC001225,GOLD00747,VALID
DUP00355,ACC008067,GOLD02322,VALID
DUP00356,ACC009651,GOLD02227,VALID
DUP00357,ACC007538,GOLD00791,VALID
DUP00358,ACC005890,GOLD02141,VALID
DUP00359,ACC000497,GOLD02481,VALID
DUP00360,ACC006636,GOLD01806,VALID
DUP00361,ACC000247,GOLD02167,VALID
DUP00362,ACC002685,GOLD02907,VALID
DUP00363,ACC002618,GOLD01778,VALID
DUP00364,ACC005279,GOLD01922,VALID
DUP00365,ACC005964,GOLD01293,VALID
DUP00366,ACC000594,GOLD02341,VALID
DUP00367,ACC003901,GOLD02261,VALID
DUP00368,ACC000620,GOLD02751,VALID
DUP00369,ACC005431,GOLD00520,VALID
DUP00370,ACC000227,GOLD01212,VALID
DUP00371,ACC005835,GOLD02618,VALID
DUP00372,ACC004549,GOLD02481,VALID
DUP00373,ACC001784,GOLD01776,VALID
DUP00374,ACC003573,GOLD01625,VALID
DUP00375,ACC004090,GOLD00235,VALID
DUP00376,ACC009096,GOLD02869,VALID
DUP00377,ACC003743,GOLD02722,VALID
DUP00378,ACC006903,GOLD02491,VALID
DUP00379,ACC002350,GOLD02954,VALID
DUP00380,ACC005796,GOLD00015,VALID
DUP00381,ACC007436,GOLD00114,VALID
DUP00382,ACC004497,GOLD02923,VALID
DUP00383,ACC002012,GOLD00099,VALID
DUP00384,ACC004016,GOLD02239,VALID
DUP00385,ACC006459,GOLD02093,VALID
DUP00386,ACC005849,GOLD00988,VALID
DUP00387,ACC001165,GOLD02989,VALID
DUP00388,ACC004234,GOLD01301,VALID
DUP00389,ACC006596,GOLD02675,VALID
DUP00390,ACC001120,GOLD01697,VALID
DUP00391,ACC003981,GOLD00150,VALID
DUP00392,ACC004500,GOLD00310,VALID
DUP00393,ACC001742,GOLD00598,VALID
DUP00394,ACC005092,GOLD02259,VALID
DUP00395,ACC002686,GOLD02644,VALID
DUP00396,ACC000297,GOLD01362,VALID
DUP00397,ACC008836,GOLD01638,VALID
DUP00398,ACC003702,GOLD02643,VALID
DUP00399,ACC007749,GOLD00719,VALID
DUP00400,ACC001731,GOLD02875,VALID
DUP00401,ACC004533,GOLD00700,VALID
DUP00402,ACC001473,GOLD00151,VALID
DUP00403,ACC003154,GOLD00412,VALID
DUP00404,ACC008266,GOLD00159,VALID
DUP00405,ACC007472,GOLD01151,VALID
DUP00406,ACC000247,GOLD01591,VALID
DUP00407,ACC008667,GOLD00416,VALID
DUP00408,ACC005473,GOLD01037,VALID
DUP00409,ACC008890,GOLD00877,VALID
DUP00410,ACC003863,GOLD00119,VALID
DUP00411,ACC005722,GOLD01821,VALID
DUP00412,ACC003944,GOLD01850,VALID
DUP00413,ACC000470,GOLD00248,VALID
DUP00414,ACC008937,GOLD02531,VALID
DUP00415,ACC006803,GOLD00378,VALID
DUP00416,ACC005759,GOLD01428,VALID
DUP00417,ACC004480,GOLD01805,VALID
DUP00418,ACC005064,GOLD02159,VALID
DUP00419,ACC008841,GOLD01264,VALID
DUP00420,ACC007375,GOLD01095,VALID
DUP00421,ACC009905,GOLD00286,VALID
DUP00422,ACC002890,GOLD01527,VALID
DUP00423,ACC001992,GOLD00827,VALID
DUP00424,ACC004904,GOLD01439,VALID
DUP00425,ACC002433,GOLD00864,VALID
DUP00426,ACC001760,GOLD01509,VALID
DUP00427,ACC002596,GOLD01541,VALID
DUP00428,ACC003297,GOLD00783,VALID
DUP00429,ACC000199,GOLD02843,VALID
DUP00430,ACC000523,GOLD02007,VALID
DUP00431,ACC006237,GOLD02859,VALID
DUP00432,ACC000518,GOLD00387,VALID
DUP00433,ACC007923,GOLD02308,VALID
DUP00434,ACC009824,GOLD02529,VALID
DUP00435,ACC002325,GOLD02450,VALID
DUP00436,ACC000474,GOLD00833,VALID
DUP00437,ACC004284,GOLD02682,VALID
DUP00438,ACC005532,GOLD02926,VALID
DUP00439,ACC007103,GOLD00007,VALID
DUP00440,ACC000655,GOLD02733,VALID
DUP00441,ACC003750,GOLD02909,VALID
DUP00442,ACC004104,GOLD01549,VALID
DUP00443,ACC006339,GOLD01999,VALID
DUP00444,ACC002592,GOLD01515,VALID
DUP00445,ACC008021,GOLD02508,VALID
DUP00446,ACC003184,GOLD01335,VALID
DUP00447,ACC003299,GOLD01760,VALID
DUP00448,ACC003697,GOLD01546,VALID
DUP00449,ACC008345,GOLD00218,VALID
DUP00450,ACC000801,GOLD01397,VALID
DUP00451,ACC004820,GOLD01834,VALID
DUP00452,ACC002781,GOLD01247,VALID
DUP00453,ACC006652,GOLD00119,VALID
DUP00454,ACC007572,GOLD01921,VALID
DUP00455,ACC001758,GOLD00224,VALID
DUP00456,ACC003451,GOLD00727,VALID
DUP00457,ACC007405,GOLD01338,VALID
DUP00458,ACC003967,GOLD00256,VALID
DUP00459,ACC009213,GOLD01312,VALID
DUP00460,ACC007638,GOLD00771,VALID
DUP00461,ACC003345,GOLD00196,VALID
DUP00462,ACC003045,GOLD01313,VALID
DUP00463,ACC007804,GOLD02870,VALID
DUP00464,ACC001042,GOLD01694,VALID
DUP00465,ACC009747,GOLD00818,VALID
DUP00466,ACC001276,GOLD00304,VALID
DUP00467,ACC007490,GOLD02508,VALID
DUP00468,ACC004612,GOLD01216,VALID
DUP00469,ACC000735,GOLD00118,VALID
DUP00470,ACC009278,GOLD01120,VALID
DUP00471,ACC009734,GOLD01736,VALID
DUP00472,ACC000138,GOLD01698,VALID
DUP00473,ACC000934,GOLD02549,VALID
DUP00474,ACC004293,GOLD01293,VALID
DUP00475,ACC004537,GOLD02998,VALID
DUP00476,ACC001456,GOLD00362,VALID
DUP00477,ACC001772,GOLD02413,VALID
DUP00478,ACC008572,GOLD00288,VALID
DUP00479,ACC008970,GOLD01505,VALID
DUP00480,ACC006188,GOLD00417,VALID
DUP00481,ACC009328,GOLD00598,VALID
DUP00482,ACC000771,GOLD00981,VALID
DUP00483,ACC009939,GOLD02669,VALID
DUP00484,ACC002412,GOLD02234,VALID
DUP00485,ACC004834,GOLD00622,VALID
DUP00486,ACC004516,GOLD00375,VALID
DUP00487,ACC008389,GOLD00171,VALID
DUP00488,ACC008404,GOLD01847,VALID
DUP00489,ACC007428,GOLD00445,VALID
DUP00490,ACC000452,GOLD01695,VALID
DUP00491,ACC003923,GOLD02875,VALID
DUP00492,ACC005129,GOLD02071,VALID
DUP00493,ACC004031,GOLD00976,VALID
DUP00494,ACC009621,GOLD00368,VALID
DUP00495,ACC002182,GOLD01718,VALID
DUP00496,ACC005943,GOLD01507,VALID
DUP00497,ACC007291,GOLD02193,VALID
DUP00498,ACC008946,GOLD02157,VALID
DUP00499,ACC002179,GOLD00462,VALID
DUP00500,ACC006347,GOLD01518,VALID
DUP00501,ACC006743,GOLD00197,VALID
DUP00502,ACC003382,GOLD00048,VALID
DUP00503,ACC003441,GOLD00197,VALID
DUP00504,ACC009236,GOLD00024,VALID
DUP00505,ACC004023,GOLD01304,VALID
DUP00506,ACC001811,GOLD01641,VALID
DUP00507,ACC002814,GOLD02470,VALID
DUP00508,ACC009313,GOLD02936,VALID
DUP00509,ACC008666,GOLD01704,VALID
DUP00510,ACC000414,GOLD01252,VALID
DUP00511,ACC009680,GOLD02357,VALID
DUP00512,ACC008205,GOLD00185,VALID
DUP00513,ACC001091,GOLD02968,VALID
DUP00514,ACC006034,GOLD02277,VALID
DUP00515,ACC001241,GOLD02812,VALID
DUP00516,ACC006097,GOLD01268,VALID
DUP00517,ACC008124,GOLD01025,VALID
DUP00518,ACC000326,GOLD00439,VALID
DUP00519,ACC000318,GOLD01839,VALID
DUP00520,ACC006464,GOLD00938,VALID
DUP00521,ACC009642,GOLD00185,VALID
DUP00522,ACC005450,GOLD02316,VALID
DUP00523,ACC008393,GOLD02139,VALID
DUP00524,ACC006420,GOLD02793,VALID
DUP00525,ACC004325,GOLD01718,VALID
DUP00526,ACC008640,GOLD01854,VALID
DUP00527,ACC004969,GOLD01431,VALID
DUP00528,ACC004943,GOLD01178,VALID
DUP00529,ACC005435,GOLD02930,VALID
DUP00530,ACC001127,GOLD00444,VALID
DUP00531,ACC006387,GOLD00599,VALID
DUP00532,ACC000099,GOLD01099,VALID
DUP00533,ACC001917,GOLD02532,VALID
DUP00534,ACC001935,GOLD01184,VALID
DUP00535,ACC001742,GOLD00373,VALID
DUP00536,ACC005274,GOLD00893,VALID
DUP00537,ACC009006,GOLD02470,VALID
DUP00538,ACC006696,GOLD01512,VALID
DUP00539,ACC006061,GOLD02745,VALID
DUP00540,ACC004737,GOLD00438,VALID
DUP00541,ACC009225,GOLD01946,VALID
DUP00542,ACC009500,GOLD02699,VALID
DUP00543,ACC002666,GOLD02605,VALID
DUP00544,ACC003821,GOLD01351,VALID
DUP00545,ACC004403,GOLD02383,VALID
DUP00546,ACC003560,GOLD02373,VALID
DUP00547,ACC003546,GOLD00074,VALID
DUP00548,ACC005462,GOLD02463,VALID
DUP00549,ACC002240,GOLD01274,VALID
DUP00550,ACC006760,GOLD00128,VALID
DUP00551,ACC005920,GOLD02439,VALID
DUP00552,ACC009776,GOLD01144,VALID
DUP00553,ACC003960,GOLD01359,VALID
DUP00554,ACC009904,GOLD00523,VALID
DUP00555,ACC008357,GOLD00401,VALID
DUP00556,ACC002182,GOLD02973,VALID
DUP00557,ACC000059,GOLD01456,VALID
DUP00558,ACC009857,GOLD02335,VALID
DUP00559,ACC002480,GOLD02804,VALID
DUP00560,ACC006519,GOLD01484,VALID
DUP00561,ACC004021,GOLD00150,VALID
DUP00562,ACC005440,GOLD02584,VALID
DUP00563,ACC001975,GOLD00852,VALID
DUP00564,ACC009472,GOLD01274,VALID
DUP00565,ACC001262,GOLD01114,VALID
DUP00566,ACC007753,GOLD01736,VALID
DUP00567,ACC004224,GOLD01974,VALID
DUP00568,ACC000251,GOLD01916,VALID
DUP00569,ACC001603,GOLD00093,VALID
DUP00570,ACC005343,GOLD02827,VALID
DUP00571,ACC007961,GOLD02296,VALID
DUP00572,ACC007169,GOLD01286,VALID
DUP00573,ACC001486,GOLD02758,VALID
DUP00574,ACC002721,GOLD00247,VALID
DUP00575,ACC001208,GOLD00691,VALID
DUP00576,ACC004892,GOLD01405,VALID
DUP00577,ACC007548,GOLD02389,VALID
DUP00578,ACC000722,GOLD02569,VALID
DUP00579,ACC006901,GOLD00681,VALID
DUP00580,ACC006991,GOLD01384,VALID
DUP00581,ACC003068,GOLD00491,VALID
DUP00582,ACC001798,GOLD01807,VALID
DUP00583,ACC004506,GOLD01417,VALID
DUP00584,ACC005381,GOLD00805,VALID
DUP00585,ACC009680,GOLD02992,VALID
DUP00586,ACC002732,GOLD02138,VALID
DUP00587,ACC001214,GOLD02187,VALID
DUP00588,ACC002084,GOLD00125,VALID
DUP00589,ACC003123,GOLD01967,VALID
DUP00590,ACC000893,GOLD01749,VALID
DUP00591,ACC008250,GOLD02802,VALID
DUP00592,ACC008194,GOLD00201,VALID
DUP00593,ACC008209,GOLD01612,VALID
DUP00594,ACC001190,GOLD00671,VALID
DUP00595,ACC005017,GOLD00780,VALID
DUP00596,ACC004585,GOLD01999,VALID
DUP00597,ACC007339,GOLD01857,VALID
DUP00598,ACC009499,GOLD01179,VALID
DUP00599,ACC004318,GOLD01593,VALID
DUP00600,ACC009646,GOLD00301,VALID
DUP00601,ACC000584,GOLD00043,VALID
DUP00602,ACC005897,GOLD02408,VALID
DUP00603,ACC000186,GOLD00310,VALID
DUP00604,ACC006901,GOLD01014,VALID
DUP00605,ACC009747,GOLD01833,VALID
