record_id,entity_type,dimension,dq_check,field_name,issue_value,severity
LEA000030,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000030,MEDIUM
LEA000031,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000031,MEDIUM
LEA000032,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000032,MEDIUM
LEA000033,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000033,MEDIUM
LEA000034,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000034,MEDIUM
LEA000035,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000035,MEDIUM
LEA000036,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000036,MEDIUM
LEA000037,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000037,MEDIUM
LEA000038,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000038,MEDIUM
LEA000039,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000039,MEDIUM
LEA000040,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000040,MEDIUM
LEA000041,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000041,MEDIUM
LEA000042,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000042,MEDIUM
LEA000043,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000043,MEDIUM
LEA000044,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000044,MEDIUM
LEA000045,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000045,MEDIUM
LEA000046,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000046,MEDIUM
LEA000047,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000047,MEDIUM
LEA000048,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000048,MEDIUM
LEA000049,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000049,MEDIUM
LEA000050,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000050,MEDIUM
LEA000051,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000051,MEDIUM
LEA000052,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000052,MEDIUM
LEA000053,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000053,MEDIUM
LEA000054,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000054,MEDIUM
LEA000055,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000055,MEDIUM
LEA000056,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000056,MEDIUM
LEA000057,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000057,MEDIUM
LEA000058,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000058,MEDIUM
LEA000059,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000059,MEDIUM
LEA000060,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000060,MEDIUM
LEA000061,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000061,MEDIUM
LEA000062,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000062,MEDIUM
LEA000063,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000063,MEDIUM
LEA000064,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000064,MEDIUM
LEA000065,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000065,MEDIUM
LEA000066,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000066,MEDIUM
LEA000067,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000067,MEDIUM
LEA000068,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000068,MEDIUM
LEA000069,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000069,MEDIUM
LEA000070,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000070,MEDIUM
LEA000071,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000071,MEDIUM
LEA000072,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000072,MEDIUM
LEA000073,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000073,MEDIUM
LEA000074,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000074,MEDIUM
LEA000075,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000075,MEDIUM
LEA000076,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000076,MEDIUM
LEA000077,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000077,MEDIUM
LEA000078,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000078,MEDIUM
LEA000079,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000079,MEDIUM
LEA000080,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000080,MEDIUM
LEA000081,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000081,MEDIUM
LEA000082,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000082,MEDIUM
LEA000083,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000083,MEDIUM
LEA000084,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000084,MEDIUM
LEA000085,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000085,MEDIUM
LEA000086,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000086,MEDIUM
LEA000087,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000087,MEDIUM
LEA000088,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000088,MEDIUM
LEA000089,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000089,MEDIUM
LEA000090,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000090,MEDIUM
LEA000091,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000091,MEDIUM
LEA000092,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000092,MEDIUM
LEA000093,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000093,MEDIUM
LEA000094,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000094,MEDIUM
LEA000095,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000095,MEDIUM
LEA000096,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000096,MEDIUM
LEA000097,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000097,MEDIUM
LEA000098,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000098,MEDIUM
LEA000099,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000099,MEDIUM
LEA000100,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000100,MEDIUM
LEA000101,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000101,MEDIUM
LEA000102,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000102,MEDIUM
LEA000103,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000103,MEDIUM
LEA000104,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000104,MEDIUM
LEA000105,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000105,MEDIUM
LEA000106,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000106,MEDIUM
LEA000107,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000107,MEDIUM
LEA000108,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000108,MEDIUM
LEA000109,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000109,MEDIUM
LEA000110,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000110,MEDIUM
LEA000111,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000111,MEDIUM
LEA000112,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000112,MEDIUM
LEA000113,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000113,MEDIUM
LEA000114,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000114,MEDIUM
LEA000115,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000115,MEDIUM
LEA000116,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000116,MEDIUM
LEA000117,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000117,MEDIUM
LEA000118,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000118,MEDIUM
LEA000119,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000119,MEDIUM
LEA000120,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000120,MEDIUM
LEA000121,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000121,MEDIUM
LEA000122,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000122,MEDIUM
LEA000123,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000123,MEDIUM
LEA000124,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000124,MEDIUM
LEA000125,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000125,MEDIUM
LEA000126,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000126,MEDIUM
LEA000127,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000127,MEDIUM
LEA000128,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000128,MEDIUM
LEA000129,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000129,MEDIUM
LEA000130,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000130,MEDIUM
LEA000131,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000131,MEDIUM
LEA000132,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000132,MEDIUM
LEA000133,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000133,MEDIUM
LEA000134,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000134,MEDIUM
LEA000135,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000135,MEDIUM
LEA000136,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000136,MEDIUM
LEA000137,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000137,MEDIUM
LEA000138,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000138,MEDIUM
LEA000139,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000139,MEDIUM
LEA000140,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000140,MEDIUM
LEA000141,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000141,MEDIUM
LEA000142,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000142,MEDIUM
LEA000143,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000143,MEDIUM
LEA000144,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000144,MEDIUM
LEA000145,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000145,MEDIUM
LEA000146,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000146,MEDIUM
LEA000147,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000147,MEDIUM
LEA000148,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000148,MEDIUM
LEA000149,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000149,MEDIUM
LEA000150,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000150,MEDIUM
LEA000151,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000151,MEDIUM
LEA000152,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000152,MEDIUM
LEA000153,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000153,MEDIUM
LEA000154,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000154,MEDIUM
LEA000155,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000155,MEDIUM
LEA000156,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000156,MEDIUM
LEA000157,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000157,MEDIUM
LEA000158,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000158,MEDIUM
LEA000159,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000159,MEDIUM
LEA000160,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000160,MEDIUM
LEA000161,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000161,MEDIUM
LEA000162,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000162,MEDIUM
LEA000163,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000163,MEDIUM
LEA000164,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000164,MEDIUM
LEA000165,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000165,MEDIUM
LEA000166,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000166,MEDIUM
LEA000167,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000167,MEDIUM
LEA000168,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000168,MEDIUM
LEA000169,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000169,MEDIUM
LEA000170,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000170,MEDIUM
LEA000171,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000171,MEDIUM
LEA000172,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000172,MEDIUM
LEA000173,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000173,MEDIUM
LEA000174,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000174,MEDIUM
LEA000175,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000175,MEDIUM
LEA000176,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000176,MEDIUM
LEA000177,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000177,MEDIUM
LEA000178,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000178,MEDIUM
LEA000179,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000179,MEDIUM
LEA000180,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000180,MEDIUM
LEA000181,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000181,MEDIUM
LEA000182,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000182,MEDIUM
LEA000183,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000183,MEDIUM
LEA000184,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000184,MEDIUM
LEA000185,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000185,MEDIUM
LEA000186,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000186,MEDIUM
LEA000187,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000187,MEDIUM
LEA000188,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000188,MEDIUM
LEA000189,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000189,MEDIUM
LEA000190,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000190,MEDIUM
LEA000191,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000191,MEDIUM
LEA000192,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000192,MEDIUM
LEA000193,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000193,MEDIUM
LEA000194,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000194,MEDIUM
LEA000195,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000195,MEDIUM
LEA000196,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000196,MEDIUM
LEA000197,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000197,MEDIUM
LEA000198,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000198,MEDIUM
LEA000199,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000199,MEDIUM
LEA000200,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000200,MEDIUM
LEA000201,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000201,MEDIUM
LEA000202,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000202,MEDIUM
LEA000203,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000203,MEDIUM
LEA000204,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000204,MEDIUM
LEA000205,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000205,MEDIUM
LEA000206,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000206,MEDIUM
LEA000207,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000207,MEDIUM
LEA000208,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000208,MEDIUM
LEA000209,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000209,MEDIUM
LEA000210,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000210,MEDIUM
LEA000211,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000211,MEDIUM
LEA000212,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000212,MEDIUM
LEA000213,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000213,MEDIUM
LEA000214,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000214,MEDIUM
LEA000215,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000215,MEDIUM
LEA000216,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000216,MEDIUM
LEA000217,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000217,MEDIUM
LEA000218,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000218,MEDIUM
LEA000219,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000219,MEDIUM
LEA000220,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000220,MEDIUM
LEA000221,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000221,MEDIUM
LEA000222,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000222,MEDIUM
LEA000223,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000223,MEDIUM
LEA000224,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000224,MEDIUM
LEA000225,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000225,MEDIUM
LEA000226,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000226,MEDIUM
LEA000227,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000227,MEDIUM
LEA000228,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000228,MEDIUM
LEA000229,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000229,MEDIUM
LEA000230,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000230,MEDIUM
LEA000231,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000231,MEDIUM
LEA000232,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000232,MEDIUM
LEA000233,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000233,MEDIUM
LEA000234,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000234,MEDIUM
LEA000235,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000235,MEDIUM
LEA000236,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000236,MEDIUM
LEA000237,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000237,MEDIUM
LEA000238,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000238,MEDIUM
LEA000239,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000239,MEDIUM
LEA000240,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000240,MEDIUM
LEA000241,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000241,MEDIUM
LEA000242,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000242,MEDIUM
LEA000243,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000243,MEDIUM
LEA000244,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000244,MEDIUM
LEA000245,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000245,MEDIUM
LEA000246,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000246,MEDIUM
LEA000247,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000247,MEDIUM
LEA000248,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000248,MEDIUM
LEA000249,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000249,MEDIUM
LEA000250,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000250,MEDIUM
LEA000251,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000251,MEDIUM
LEA000252,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000252,MEDIUM
LEA000253,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000253,MEDIUM
LEA000254,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000254,MEDIUM
LEA000255,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000255,MEDIUM
LEA000256,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000256,MEDIUM
LEA000257,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000257,MEDIUM
LEA000258,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000258,MEDIUM
LEA000259,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000259,MEDIUM
LEA000260,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000260,MEDIUM
LEA000261,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000261,MEDIUM
LEA000262,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000262,MEDIUM
LEA000263,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000263,MEDIUM
LEA000264,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000264,MEDIUM
LEA000265,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000265,MEDIUM
LEA000266,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000266,MEDIUM
LEA000267,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000267,MEDIUM
LEA000268,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000268,MEDIUM
LEA000269,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000269,MEDIUM
LEA000270,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000270,MEDIUM
LEA000271,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000271,MEDIUM
LEA000272,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000272,MEDIUM
LEA000273,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000273,MEDIUM
LEA000274,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000274,MEDIUM
LEA000275,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000275,MEDIUM
LEA000276,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000276,MEDIUM
LEA000277,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000277,MEDIUM
LEA000278,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000278,MEDIUM
LEA000279,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000279,MEDIUM
LEA000280,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000280,MEDIUM
LEA000281,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000281,MEDIUM
LEA000282,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000282,MEDIUM
LEA000283,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000283,MEDIUM
LEA000284,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000284,MEDIUM
LEA000285,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000285,MEDIUM
LEA000286,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000286,MEDIUM
LEA000287,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000287,MEDIUM
LEA000288,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000288,MEDIUM
LEA000289,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000289,MEDIUM
LEA000290,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000290,MEDIUM
LEA000291,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000291,MEDIUM
LEA000292,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000292,MEDIUM
LEA000293,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000293,MEDIUM
LEA000294,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000294,MEDIUM
LEA000295,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000295,MEDIUM
LEA000296,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000296,MEDIUM
