account_id,entity_type,completeness_score,validity_score,consistency_score,uniqueness_score,freshness_score,record_quality_score,quality_grade,issue_count,high_severity_issues,module6_golden_record_eligible
ACC000072,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000075,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000076,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000078,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000079,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000086,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000087,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000090,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000091,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000092,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000098,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000110,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000111,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000113,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000114,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000116,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000117,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000118,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000121,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000122,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000124,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000125,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000127,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000128,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000129,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000131,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000134,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000135,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000138,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000139,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000140,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000142,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000144,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000146,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000147,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000148,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000149,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000151,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000152,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000155,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000156,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000157,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000159,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000160,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000163,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000166,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000167,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000168,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000172,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000174,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000175,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000176,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000177,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000179,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000184,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000187,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000188,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000189,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000190,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000191,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000193,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000194,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000195,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000196,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000198,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000201,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000202,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000203,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000204,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000205,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000206,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000207,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000208,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000214,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000216,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000217,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000220,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000221,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000224,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000226,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000228,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000229,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000232,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000235,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000236,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000237,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000238,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000239,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000241,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000243,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000245,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000250,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000254,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000256,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000257,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000261,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000265,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000267,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000269,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000270,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000271,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000272,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000273,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000274,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000276,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000277,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000279,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000280,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000281,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000282,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000283,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000284,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000285,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000286,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000288,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000294,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000299,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000300,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000303,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000306,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000307,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000308,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000310,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000311,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000314,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000321,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000326,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000327,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000328,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000330,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000332,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000337,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000339,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000340,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000341,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000342,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000344,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000345,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000346,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000349,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000353,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000356,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000357,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000358,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000359,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000362,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000363,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000364,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000366,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000370,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000371,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000372,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000374,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000376,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000378,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000384,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000385,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000388,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000390,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000391,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000392,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000396,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000398,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000399,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000400,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000406,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000407,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000408,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000413,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000414,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000415,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000418,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000419,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000420,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000422,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000423,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000425,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000427,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000429,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000432,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000435,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000437,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000438,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000439,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000442,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000443,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000445,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000447,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000449,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000455,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000457,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000459,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000464,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000467,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000469,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000471,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000472,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000478,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000479,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000480,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000481,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000483,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000487,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000489,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000490,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000492,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000493,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000495,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000496,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000498,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000499,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000500,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000502,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000503,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000505,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000507,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000508,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000509,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000513,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000515,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000518,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000522,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000524,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000526,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000527,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000528,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000530,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000531,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000532,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000535,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000536,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000537,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000538,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000540,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000542,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000546,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000547,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000548,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000549,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000553,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000556,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000560,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000561,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000563,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000566,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000571,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000572,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000574,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000575,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000579,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000581,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000582,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000585,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000586,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000588,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000589,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000590,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000596,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000597,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000599,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000600,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
