account_id,steward,dq_issue_status
ACC000330,Data Steward A,In Review
ACC000331,Data Steward B,Resolved
ACC000332,Data Steward A,In Review
ACC000333,Data Steward C,Resolved
ACC000334,Data Steward C,In Review
ACC000335,Data Steward A,Resolved
ACC000336,Data Steward C,In Review
ACC000337,Data Steward A,Open
ACC000338,Data Steward B,Resolved
ACC000339,Data Steward C,Open
ACC000340,Data Steward B,Resolved
ACC000341,Data Steward B,Resolved
ACC000342,Data Steward C,Open
ACC000343,Data Steward B,In Review
ACC000344,Data Steward B,In Review
ACC000345,Data Steward C,Open
ACC000346,Data Steward B,Open
ACC000347,Data Steward A,In Review
ACC000348,Data Steward C,Resolved
ACC000349,Data Steward B,In Review
ACC000350,Data Steward B,Open
ACC000351,Data Steward C,In Review
ACC000352,Data Steward A,In Review
ACC000353,Data Steward C,Open
ACC000354,Data Steward A,Open
ACC000355,Data Steward C,Open
ACC000356,Data Steward A,Open
ACC000357,Data Steward C,In Review
ACC000358,Data Steward B,In Review
ACC000359,Data Steward C,In Review
ACC000360,Data Steward B,Open
ACC000361,Data Steward A,In Review
ACC000362,Data Steward C,Resolved
ACC000363,Data Steward C,Resolved
ACC000364,Data Steward B,Resolved
ACC000365,Data Steward B,Open
ACC000366,Data Steward C,In Review
ACC000367,Data Steward A,Open
ACC000368,Data Steward B,Open
ACC000369,Data Steward C,In Review
ACC000370,Data Steward B,Open
ACC000371,Data Steward A,Open
ACC000372,Data Steward A,In Review
ACC000373,Data Steward B,In Review
ACC000374,Data Steward C,Open
ACC000375,Data Steward C,In Review
ACC000376,Data Steward B,Open
ACC000377,Data Steward A,Resolved
ACC000378,Data Steward A,In Review
ACC000379,Data Steward C,In Review
ACC000380,Data Steward A,Resolved
ACC000381,Data Steward A,Resolved
ACC000382,Data Steward A,Open
ACC000383,Data Steward B,Open
ACC000384,Data Steward A,Resolved
ACC000385,Data Steward B,In Review
ACC000386,Data Steward A,In Review
ACC000387,Data Steward B,Open
ACC000388,Data Steward B,Open
ACC000389,Data Steward A,Resolved
ACC000390,Data Steward B,Resolved
ACC000391,Data Steward A,In Review
ACC000392,Data Steward B,Resolved
ACC000393,Data Steward A,In Review
ACC000394,Data Steward C,In Review
ACC000395,Data Steward C,Open
ACC000396,Data Steward A,Resolved
ACC000397,Data Steward B,Resolved
ACC000398,Data Steward A,Resolved
ACC000399,Data Steward C,In Review
ACC000400,Data Steward A,In Review
ACC000401,Data Steward B,Open
ACC000402,Data Steward C,In Review
ACC000403,Data Steward B,Resolved
ACC000404,Data Steward A,Open
ACC000405,Data Steward C,Resolved
ACC000406,Data Steward C,Open
ACC000407,Data Steward B,Resolved
ACC000408,Data Steward B,In Review
ACC000409,Data Steward B,Resolved
ACC000410,Data Steward C,Resolved
ACC000411,Data Steward C,Open
ACC000412,Data Steward C,Open
ACC000413,Data Steward A,In Review
ACC000414,Data Steward A,Open
ACC000415,Data Steward A,In Review
ACC000416,Data Steward A,Open
ACC000417,Data Steward C,In Review
ACC000418,Data Steward B,Open
ACC000419,Data Steward C,Open
ACC000420,Data Steward A,In Review
ACC000421,Data Steward B,In Review
ACC000422,Data Steward C,Resolved
ACC000423,Data Steward A,In Review
ACC000424,Data Steward B,In Review
ACC000425,Data Steward C,Resolved
ACC000426,Data Steward A,In Review
ACC000427,Data Steward C,In Review
ACC000428,Data Steward A,Open
ACC000429,Data Steward C,Open
ACC000430,Data Steward A,Resolved
ACC000431,Data Steward C,In Review
ACC000432,Data Steward B,Resolved
ACC000433,Data Steward A,In Review
ACC000434,Data Steward B,In Review
ACC000435,Data Steward B,Open
ACC000436,Data Steward C,In Review
ACC000437,Data Steward A,Open
ACC000438,Data Steward A,In Review
ACC000439,Data Steward A,Resolved
ACC000440,Data Steward C,Open
ACC000441,Data Steward C,Open
ACC000442,Data Steward B,Open
ACC000443,Data Steward C,In Review
ACC000444,Data Steward C,In Review
ACC000445,Data Steward B,In Review
ACC000446,Data Steward C,In Review
ACC000447,Data Steward C,Resolved
ACC000448,Data Steward A,Open
ACC000449,Data Steward C,Open
ACC000450,Data Steward C,Resolved
ACC000451,Data Steward B,Open
ACC000452,Data Steward C,In Review
ACC000453,Data Steward C,In Review
ACC000454,Data Steward A,In Review
ACC000455,Data Steward B,In Review
ACC000456,Data Steward C,Resolved
ACC000457,Data Steward C,Resolved
ACC000458,Data Steward B,In Review
ACC000459,Data Steward C,Open
ACC000460,Data Steward A,Resolved
ACC000461,Data Steward A,In Review
ACC000462,Data Steward C,Resolved
ACC000463,Data Steward B,In Review
ACC000464,Data Steward B,In Review
ACC000465,Data Steward B,Open
ACC000466,Data Steward A,Resolved
ACC000467,Data Steward A,Open
ACC000468,Data Steward B,In Review
ACC000469,Data Steward B,In Review
ACC000470,Data Steward A,Resolved
ACC000471,Data Steward A,Resolved
ACC000472,Data Steward B,Resolved
ACC000473,Data Steward B,Open
ACC000474,Data Steward C,In Review
ACC000475,Data Steward B,Resolved
ACC000476,Data Steward A,Resolved
ACC000477,Data Steward B,Open
ACC000478,Data Steward B,Resolved
ACC000479,Data Steward C,Open
ACC000480,Data Steward A,In Review
ACC000481,Data Steward A,Resolved
ACC000482,Data Steward A,In Review
ACC000483,Data Steward C,In Review
ACC000484,Data Steward B,In Review
ACC000485,Data Steward A,Resolved
ACC000486,Data Steward B,In Review
ACC000487,Data Steward B,In Review
ACC000488,Data Steward B,Resolved
ACC000489,Data Steward B,In Review
ACC000490,Data Steward A,In Review
ACC000491,Data Steward C,Open
ACC000492,Data Steward B,Resolved
ACC000493,Data Steward B,Open
ACC000494,Data Steward A,In Review
ACC000495,Data Steward B,Open
ACC000496,Data Steward B,Open
ACC000497,Data Steward C,Resolved
ACC000498,Data Steward C,Open
ACC000499,Data Steward C,Open
ACC000500,Data Steward B,Resolved
ACC000501,Data Steward B,In Review
ACC000502,Data Steward A,In Review
ACC000503,Data Steward C,Resolved
ACC000504,Data Steward B,In Review
ACC000505,Data Steward B,Resolved
ACC000506,Data Steward C,Open
ACC000507,Data Steward B,Resolved
ACC000508,Data Steward C,Open
ACC000509,Data Steward B,In Review
ACC000510,Data Steward C,Resolved
ACC000511,Data Steward C,In Review
ACC000512,Data Steward C,Resolved
ACC000513,Data Steward C,Open
ACC000514,Data Steward C,In Review
ACC000515,Data Steward C,Open
ACC000516,Data Steward A,In Review
ACC000517,Data Steward C,In Review
ACC000518,Data Steward C,Resolved
ACC000519,Data Steward B,Open
ACC000520,Data Steward A,Resolved
ACC000521,Data Steward C,Open
ACC000522,Data Steward B,In Review
ACC000523,Data Steward A,Open
ACC000524,Data Steward C,In Review
ACC000525,Data Steward C,Open
ACC000526,Data Steward C,Resolved
ACC000527,Data Steward B,Resolved
ACC000528,Data Steward A,Open
ACC000529,Data Steward C,In Review
ACC000530,Data Steward B,In Review
ACC000531,Data Steward C,Open
ACC000532,Data Steward B,Open
ACC000533,Data Steward C,In Review
ACC000534,Data Steward B,In Review
ACC000535,Data Steward C,In Review
ACC000536,Data Steward C,Open
ACC000537,Data Steward C,In Review
ACC000538,Data Steward B,Open
ACC000539,Data Steward B,Resolved
ACC000540,Data Steward A,In Review
ACC000541,Data Steward B,In Review
ACC000542,Data Steward B,In Review
ACC000543,Data Steward C,Resolved
ACC000544,Data Steward B,Resolved
ACC000545,Data Steward A,In Review
ACC000546,Data Steward A,In Review
ACC000547,Data Steward A,Open
ACC000548,Data Steward C,Open
ACC000549,Data Steward C,In Review
ACC000550,Data Steward B,Open
ACC000551,Data Steward C,Resolved
ACC000552,Data Steward A,Open
ACC000553,Data Steward C,In Review
ACC000554,Data Steward A,Open
ACC000555,Data Steward A,Resolved
ACC000556,Data Steward C,Open
ACC000557,Data Steward C,Resolved
ACC000558,Data Steward C,Open
ACC000559,Data Steward C,In Review
ACC000560,Data Steward B,Resolved
ACC000561,Data Steward B,Open
ACC000562,Data Steward C,Open
ACC000563,Data Steward C,Resolved
ACC000564,Data Steward B,In Review
ACC000565,Data Steward B,Resolved
ACC000566,Data Steward A,In Review
ACC000567,Data Steward C,Open
ACC000568,Data Steward C,In Review
ACC000569,Data Steward C,In Review
ACC000570,Data Steward A,Open
ACC000571,Data Steward B,Open
ACC000572,Data Steward A,In Review
ACC000573,Data Steward B,Open
ACC000574,Data Steward C,Resolved
ACC000575,Data Steward C,Resolved
ACC000576,Data Steward B,Open
ACC000577,Data Steward A,In Review
ACC000578,Data Steward C,In Review
ACC000579,Data Steward B,In Review
ACC000580,Data Steward C,Open
ACC000581,Data Steward C,In Review
ACC000582,Data Steward A,In Review
ACC000583,Data Steward C,Open
ACC000584,Data Steward B,In Review
ACC000585,Data Steward C,In Review
ACC000586,Data Steward A,In Review
ACC000587,Data Steward B,Resolved
ACC000588,Data Steward A,Open
ACC000589,Data Steward C,Resolved
ACC000590,Data Steward A,Resolved
ACC000591,Data Steward C,Resolved
ACC000592,Data Steward A,In Review
ACC000593,Data Steward B,Resolved
ACC000594,Data Steward B,Open
ACC000595,Data Steward A,Open
ACC000596,Data Steward A,Open
ACC000597,Data Steward A,Open
ACC000598,Data Steward A,Open
ACC000599,Data Steward C,Open
ACC000600,Data Steward B,In Review
ACC000601,Data Steward C,In Review
ACC000602,Data Steward C,In Review
ACC000603,Data Steward B,Open
ACC000604,Data Steward A,Resolved
ACC000605,Data Steward C,Open
ACC000606,Data Steward A,Open
ACC000607,Data Steward C,In Review
ACC000608,Data Steward B,Open
ACC000609,Data Steward B,In Review
ACC000610,Data Steward C,Open
ACC000611,Data Steward B,Open
ACC000612,Data Steward C,In Review
ACC000613,Data Steward A,Resolved
ACC000614,Data Steward B,Open
ACC000615,Data Steward B,Resolved
ACC000616,Data Steward C,Open
ACC000617,Data Steward B,In Review
ACC000618,Data Steward B,In Review
ACC000619,Data Steward A,In Review
ACC000620,Data Steward B,In Review
ACC000621,Data Steward A,Open
ACC000622,Data Steward C,In Review
ACC000623,Data Steward C,Resolved
ACC000624,Data Steward B,Resolved
ACC000625,Data Steward C,Open
ACC000626,Data Steward A,Resolved
ACC000627,Data Steward A,Resolved
ACC000628,Data Steward C,Resolved
ACC000629,Data Steward C,In Review
ACC000630,Data Steward B,In Review
ACC000631,Data Steward C,Open
ACC000632,Data Steward B,Resolved
ACC000633,Data Steward B,Open
ACC000634,Data Steward B,In Review
ACC000635,Data Steward B,In Review
ACC000636,Data Steward B,Resolved
ACC000637,Data Steward C,Resolved
ACC000638,Data Steward B,Open
ACC000639,Data Steward A,Resolved
ACC000640,Data Steward C,Open
ACC000641,Data Steward A,In Review
ACC000642,Data Steward C,In Review
ACC000643,Data Steward B,Open
ACC000644,Data Steward C,In Review
ACC000645,Data Steward A,Resolved
ACC000646,Data Steward C,Resolved
ACC000647,Data Steward B,Resolved
ACC000648,Data Steward C,Open
ACC000649,Data Steward C,Open
ACC000650,Data Steward B,Open
ACC000651,Data Steward A,In Review
ACC000652,Data Steward A,Open
ACC000653,Data Steward C,Resolved
ACC000654,Data Steward B,Resolved
ACC000655,Data Steward C,Resolved
ACC000656,Data Steward C,In Review
ACC000657,Data Steward B,In Review
ACC000658,Data Steward C,Resolved
ACC000659,Data Steward A,In Review
ACC000660,Data Steward B,In Review
ACC000661,Data Steward C,In Review
ACC000662,Data Steward B,Open
ACC000663,Data Steward C,Resolved
ACC000664,Data Steward A,Resolved
ACC000665,Data Steward C,In Review
ACC000666,Data Steward C,Resolved
ACC000667,Data Steward B,Resolved
ACC000668,Data Steward A,Resolved
ACC000669,Data Steward C,Open
ACC000670,Data Steward A,Resolved
ACC000671,Data Steward C,In Review
ACC000672,Data Steward A,Open
ACC000673,Data Steward C,Resolved
ACC000674,Data Steward A,Open
ACC000675,Data Steward C,Open
ACC000676,Data Steward B,Resolved
ACC000677,Data Steward C,Open
ACC000678,Data Steward A,In Review
ACC000679,Data Steward A,Resolved
ACC000680,Data Steward C,Open
ACC000681,Data Steward C,Resolved
ACC000682,Data Steward C,In Review
ACC000683,Data Steward B,Resolved
ACC000684,Data Steward B,In Review
ACC000685,Data Steward C,Open
ACC000686,Data Steward A,Open
ACC000687,Data Steward B,In Review
ACC000688,Data Steward B,In Review
ACC000689,Data Steward B,In Review
ACC000690,Data Steward C,In Review
ACC000691,Data Steward A,In Review
ACC000692,Data Steward B,Open
ACC000693,Data Steward C,In Review
ACC000694,Data Steward C,Open
ACC000695,Data Steward A,In Review
ACC000696,Data Steward C,Open
ACC000697,Data Steward C,Open
ACC000698,Data Steward B,Open
ACC000699,Data Steward A,In Review
ACC000700,Data Steward B,Open
ACC000701,Data Steward A,Open
ACC000702,Data Steward A,Open
ACC000703,Data Steward B,Open
ACC000704,Data Steward B,In Review
ACC000705,Data Steward B,Resolved
ACC000706,Data Steward A,Resolved
ACC000707,Data Steward B,In Review
ACC000708,Data Steward A,In Review
ACC000709,Data Steward B,Resolved
ACC000710,Data Steward C,Resolved
ACC000711,Data Steward B,In Review
ACC000712,Data Steward C,Open
ACC000713,Data Steward B,Open
ACC000714,Data Steward C,In Review
ACC000715,Data Steward A,Resolved
ACC000716,Data Steward A,Resolved
ACC000717,Data Steward A,In Review
ACC000718,Data Steward C,Resolved
ACC000719,Data Steward A,In Review
ACC000720,Data Steward C,Open
ACC000721,Data Steward B,In Review
ACC000722,Data Steward B,Resolved
ACC000723,Data Steward B,In Review
ACC000724,Data Steward A,Open
ACC000725,Data Steward A,Resolved
ACC000726,Data Steward C,In Review
ACC000727,Data Steward A,In Review
ACC000728,Data Steward C,In Review
ACC000729,Data Steward C,Resolved
ACC000730,Data Steward C,In Review
ACC000731,Data Steward B,Open
ACC000732,Data Steward B,Open
ACC000733,Data Steward A,Resolved
ACC000734,Data Steward A,In Review
ACC000735,Data Steward B,In Review
ACC000736,Data Steward B,In Review
ACC000737,Data Steward C,Resolved
ACC000738,Data Steward B,Resolved
ACC000739,Data Steward B,Resolved
ACC000740,Data Steward A,Resolved
ACC000741,Data Steward C,Open
ACC000742,Data Steward A,Resolved
ACC000743,Data Steward B,Open
ACC000744,Data Steward A,Resolved
ACC000745,Data Steward B,Open
ACC000746,Data Steward B,In Review
ACC000747,Data Steward A,Resolved
ACC000748,Data Steward A,In Review
ACC000749,Data Steward B,In Review
ACC000750,Data Steward A,Resolved
ACC000751,Data Steward C,Resolved
ACC000752,Data Steward B,Open
ACC000753,Data Steward A,In Review
ACC000754,Data Steward C,In Review
ACC000755,Data Steward B,Open
ACC000756,Data Steward A,In Review
ACC000757,Data Steward A,Open
ACC000758,Data Steward A,In Review
ACC000759,Data Steward B,Resolved
ACC000760,Data Steward B,In Review
ACC000761,Data Steward C,In Review
ACC000762,Data Steward B,Resolved
ACC000763,Data Steward A,Open
ACC000764,Data Steward B,Resolved
ACC000765,Data Steward A,Resolved
ACC000766,Data Steward B,Open
ACC000767,Data Steward A,In Review
ACC000768,Data Steward A,Resolved
ACC000769,Data Steward A,In Review
ACC000770,Data Steward A,Resolved
ACC000771,Data Steward B,Resolved
ACC000772,Data Steward C,In Review
ACC000773,Data Steward C,Open
ACC000774,Data Steward A,Open
ACC000775,Data Steward A,Resolved
ACC000776,Data Steward B,In Review
ACC000777,Data Steward A,In Review
ACC000778,Data Steward B,In Review
ACC000779,Data Steward B,In Review
ACC000780,Data Steward A,Open
ACC000781,Data Steward B,In Review
ACC000782,Data Steward C,In Review
ACC000783,Data Steward B,In Review
ACC000784,Data Steward A,Open
ACC000785,Data Steward A,Open
ACC000786,Data Steward A,In Review
ACC000787,Data Steward A,In Review
ACC000788,Data Steward A,In Review
ACC000789,Data Steward A,Resolved
ACC000790,Data Steward C,Resolved
ACC000791,Data Steward C,In Review
ACC000792,Data Steward A,In Review
ACC000793,Data Steward B,In Review
ACC000794,Data Steward B,In Review
ACC000795,Data Steward B,In Review
ACC000796,Data Steward B,Open
ACC000797,Data Steward B,Resolved
ACC000798,Data Steward B,Open
ACC000799,Data Steward B,Resolved
ACC000800,Data Steward A,Open
ACC000801,Data Steward A,In Review
ACC000802,Data Steward B,Open
ACC000803,Data Steward C,Resolved
ACC000804,Data Steward A,In Review
ACC000805,Data Steward C,Resolved
ACC000806,Data Steward A,In Review
ACC000807,Data Steward B,In Review
ACC000808,Data Steward A,Open
ACC000809,Data Steward A,In Review
ACC000810,Data Steward A,Resolved
ACC000811,Data Steward A,Open
ACC000812,Data Steward A,In Review
ACC000813,Data Steward B,Resolved
ACC000814,Data Steward A,Resolved
ACC000815,Data Steward C,Resolved
ACC000816,Data Steward B,Resolved
ACC000817,Data Steward B,Resolved
ACC000818,Data Steward B,In Review
ACC000819,Data Steward C,In Review
ACC000820,Data Steward C,In Review
