lead_id,entity_type,completeness_score,validity_score,consistency_score,uniqueness_score,freshness_score,record_quality_score,quality_grade,issue_count,high_severity_issues,module6_golden_record_eligible
LEA000038,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000039,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000040,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000041,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000042,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000043,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000044,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000045,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000046,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000047,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000048,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000049,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000050,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000051,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000052,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000053,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000054,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000055,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000056,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000057,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000058,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000059,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000060,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000061,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000062,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000063,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000064,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000065,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000066,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000067,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000068,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000069,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000070,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000071,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000072,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000073,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000074,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000075,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000076,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000077,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000078,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000079,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000080,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000081,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000082,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000083,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000084,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000085,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000086,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000087,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000088,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000089,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000090,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000091,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000092,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000093,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000094,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000095,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000096,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000097,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000098,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000099,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000100,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000101,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000102,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000103,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000104,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000105,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000106,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000107,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000108,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000109,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000110,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000111,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000112,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000113,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000114,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000115,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000116,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000117,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000118,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000119,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000120,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000121,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000122,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000123,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000124,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000125,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000126,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000127,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000128,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000129,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000130,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000131,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000132,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000133,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000134,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000135,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000136,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000137,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000138,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000139,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000140,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000141,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000142,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000143,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000144,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000145,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000146,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000147,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000148,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000149,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000150,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000151,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000152,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000153,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000154,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000155,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000156,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000157,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000158,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000159,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000160,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000161,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000162,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000163,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000164,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000165,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000166,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000167,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000168,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000169,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000170,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000171,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000172,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000173,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000174,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000175,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000176,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000177,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000178,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000179,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000180,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000181,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000182,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000183,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000184,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000185,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000186,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000187,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000188,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000189,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000190,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000191,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000192,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000193,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000194,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000195,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000196,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000197,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000198,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000199,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000200,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000201,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000202,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000203,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000204,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000205,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000206,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000207,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000208,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000209,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000210,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000211,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000212,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000213,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000214,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000215,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000216,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000217,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000218,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000219,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000220,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000221,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000222,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000223,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000224,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000225,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000226,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000227,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000228,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000229,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000230,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000231,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000232,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000233,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000234,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000235,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000236,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000237,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000238,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000239,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000240,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000241,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000242,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000243,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000244,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000245,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000246,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000247,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000248,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000249,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000250,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000251,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000252,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000253,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000254,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000255,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000256,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000257,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000258,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000259,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000260,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000261,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000262,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000263,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000264,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000265,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000266,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000267,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000268,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000269,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000270,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000271,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000272,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000273,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000274,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000275,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000276,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000277,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000278,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000279,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000280,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000281,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000282,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000283,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000284,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000285,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000286,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000287,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000288,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000289,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000290,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000291,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000292,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000293,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000294,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000295,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000296,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000297,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000298,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000299,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000300,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000301,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000302,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000303,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000304,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000305,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000306,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000307,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000308,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000309,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000310,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000311,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000312,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000313,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000314,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
