lead_id,lead_name,source,status,duplicate_count,absorbed_ids
LEA000107,Lead 106,Referral,Working,0,
LEA000108,Lead 107,LinkedIn,Converted,0,
LEA000109,Lead 108,Referral,Converted,0,
LEA000110,Lead 109,Event,New,0,
LEA000111,Lead 110,Event,New,0,
LEA000112,Lead 111,LinkedIn,Working,0,
LEA000113,Lead 112,Referral,Converted,0,
LEA000114,Lead 113,Web,New,0,
LEA000115,Lead 114,Web,Working,0,
LEA000116,Lead 115,Event,Converted,0,
LEA000117,Lead 116,Event,Converted,0,
LEA000118,Lead 117,Event,Qualified,0,
LEA000119,Lead 118,LinkedIn,Converted,0,
LEA000120,Lead 119,Event,New,0,
LEA000121,Lead 120,Web,Working,0,
LEA000122,Lead 121,LinkedIn,New,0,
LEA000123,Lead 122,Referral,Working,0,
LEA000124,Lead 123,Event,Converted,0,
LEA000125,Lead 124,Referral,New,0,
LEA000126,Lead 125,Web,Working,0,
LEA000127,Lead 126,Event,Converted,0,
LEA000128,Lead 127,Event,Converted,0,
LEA000129,Lead 128,Referral,Working,0,
LEA000130,Lead 129,Event,Qualified,0,
LEA000131,Lead 130,Referral,Working,0,
LEA000132,Lead 131,Referral,Working,0,
LEA000133,Lead 132,Referral,Converted,0,
LEA000134,Lead 133,Web,New,0,
LEA000135,Lead 134,Event,Working,0,
LEA000136,Lead 135,Referral,New,0,
LEA000137,Lead 136,Event,Converted,0,
LEA000138,Lead 137,Referral,New,0,
LEA000139,Lead 138,Web,New,0,
LEA000140,Lead 139,Referral,Working,0,
LEA000141,Lead 140,LinkedIn,Converted,0,
LEA000142,Lead 141,LinkedIn,Qualified,0,
LEA000143,Lead 142,Web,Working,0,
LEA000144,Lead 143,Web,Working,0,
LEA000145,Lead 144,LinkedIn,Qualified,0,
LEA000146,Lead 145,Web,Working,0,
LEA000147,Lead 146,Web,New,0,
LEA000148,Lead 147,Event,Working,0,
LEA000149,Lead 148,LinkedIn,Converted,0,
LEA000150,Lead 149,LinkedIn,New,0,
LEA000151,Lead 150,LinkedIn,Qualified,0,
LEA000152,Lead 151,Referral,Converted,0,
LEA000153,Lead 152,Referral,Qualified,0,
LEA000154,Lead 153,Referral,Working,0,
LEA000155,Lead 154,LinkedIn,New,0,
LEA000156,Lead 155,LinkedIn,Working,0,
LEA000157,Lead 156,Event,Converted,0,
LEA000158,Lead 157,LinkedIn,Working,0,
LEA000159,Lead 158,Referral,New,0,
LEA000160,Lead 159,Referral,Qualified,0,
LEA000161,Lead 160,Referral,Qualified,0,
LEA000162,Lead 161,Referral,Converted,0,
LEA000163,Lead 162,Referral,Working,0,
LEA000164,Lead 163,LinkedIn,Working,0,
LEA000165,Lead 164,Event,New,0,
LEA000166,Lead 165,Referral,New,0,
LEA000167,Lead 166,Event,Converted,0,
LEA000168,Lead 167,LinkedIn,New,0,
LEA000169,Lead 168,LinkedIn,New,0,
LEA000170,Lead 169,Event,Working,0,
LEA000171,Lead 170,Web,New,0,
LEA000172,Lead 171,Referral,Working,0,
LEA000173,Lead 172,Web,New,0,
LEA000174,Lead 173,Referral,Working,0,
LEA000175,Lead 174,Web,Qualified,0,
LEA000176,Lead 175,Event,Qualified,0,
LEA000177,Lead 176,Referral,Converted,0,
LEA000178,Lead 177,LinkedIn,Converted,0,
LEA000179,Lead 178,LinkedIn,New,0,
LEA000180,Lead 179,LinkedIn,New,0,
LEA000181,Lead 180,LinkedIn,Working,0,
LEA000182,Lead 181,Web,Converted,0,
LEA000183,Lead 182,Event,New,0,
LEA000184,Lead 183,Web,New,0,
LEA000185,Lead 184,Referral,Qualified,0,
LEA000186,Lead 185,Event,Qualified,0,
LEA000187,Lead 186,Referral,Qualified,0,
LEA000188,Lead 187,LinkedIn,Working,0,
LEA000189,Lead 188,LinkedIn,Qualified,0,
LEA000190,Lead 189,LinkedIn,Converted,0,
LEA000191,Lead 190,Referral,Converted,0,
LEA000192,Lead 191,LinkedIn,New,0,
LEA000193,Lead 192,Event,Converted,0,
LEA000194,Lead 193,Referral,Converted,0,
LEA000195,Lead 194,Referral,New,0,
LEA000196,Lead 195,Event,New,0,
LEA000197,Lead 196,Event,New,0,
LEA000198,Lead 197,Event,Qualified,0,
LEA000199,Lead 198,LinkedIn,New,0,
LEA000200,Lead 199,LinkedIn,New,0,
LEA000201,Lead 200,LinkedIn,Converted,0,
LEA000202,Lead 201,Event,Working,0,
LEA000203,Lead 202,Web,Qualified,0,
LEA000204,Lead 203,LinkedIn,New,0,
LEA000205,Lead 204,Event,Working,0,
LEA000206,Lead 205,Web,Working,0,
LEA000207,Lead 206,Event,Converted,0,
LEA000208,Lead 207,Web,Working,0,
LEA000209,Lead 208,LinkedIn,New,0,
LEA000210,Lead 209,Event,Working,0,
LEA000211,Lead 210,Web,Working,0,
LEA000212,Lead 211,LinkedIn,Working,0,
LEA000213,Lead 212,Web,New,0,
LEA000214,Lead 213,Referral,Converted,0,
LEA000215,Lead 214,Web,Converted,0,
LEA000216,Lead 215,Web,Qualified,0,
LEA000217,Lead 216,Referral,Converted,0,
LEA000218,Lead 217,Referral,New,0,
LEA000219,Lead 218,Referral,Converted,0,
LEA000220,Lead 219,Web,Working,0,
LEA000221,Lead 220,Web,Working,0,
LEA000222,Lead 221,LinkedIn,New,0,
LEA000223,Lead 222,Web,Converted,0,
LEA000224,Lead 223,Event,Working,0,
LEA000225,Lead 224,Event,Working,0,
LEA000226,Lead 225,Event,New,0,
LEA000227,Lead 226,Referral,Qualified,0,
LEA000228,Lead 227,Event,Qualified,0,
LEA000229,Lead 228,Event,Converted,0,
LEA000230,Lead 229,Web,Qualified,0,
LEA000231,Lead 230,Web,New,0,
LEA000232,Lead 231,LinkedIn,Converted,0,
LEA000233,Lead 232,Referral,Qualified,0,
LEA000234,Lead 233,Web,Converted,0,
LEA000235,Lead 234,Web,Working,0,
LEA000236,Lead 235,LinkedIn,Converted,0,
LEA000237,Lead 236,Web,Converted,0,
LEA000238,Lead 237,Web,New,0,
LEA000239,Lead 238,Referral,New,0,
LEA000240,Lead 239,Event,New,0,
LEA000241,Lead 240,Event,Qualified,0,
LEA000242,Lead 241,Referral,Qualified,0,
LEA000243,Lead 242,Event,Converted,0,
LEA000244,Lead 243,Web,Working,0,
LEA000245,Lead 244,Event,Working,0,
LEA000246,Lead 245,Referral,Qualified,0,
LEA000247,Lead 246,Referral,Qualified,0,
LEA000248,Lead 247,LinkedIn,Qualified,0,
LEA000249,Lead 248,LinkedIn,Working,0,
LEA000250,Lead 249,Referral,Converted,0,
LEA000251,Lead 250,Web,Working,0,
LEA000252,Lead 251,LinkedIn,Working,0,
LEA000253,Lead 252,Referral,Qualified,0,
LEA000254,Lead 253,Referral,Converted,0,
LEA000255,Lead 254,Referral,Converted,0,
LEA000256,Lead 255,Web,Qualified,0,
LEA000257,Lead 256,Referral,Converted,0,
LEA000258,Lead 257,Referral,Qualified,0,
LEA000259,Lead 258,LinkedIn,New,0,
LEA000260,Lead 259,Web,Working,0,
LEA000261,Lead 260,Referral,Working,0,
LEA000262,Lead 261,Event,Converted,0,
LEA000263,Lead 262,Referral,Working,0,
LEA000264,Lead 263,Event,New,0,
LEA000265,Lead 264,Referral,Qualified,0,
LEA000266,Lead 265,Event,New,0,
LEA000267,Lead 266,Web,Converted,0,
LEA000268,Lead 267,Referral,Working,0,
LEA000269,Lead 268,LinkedIn,Converted,0,
LEA000270,Lead 269,Web,New,0,
LEA000271,Lead 270,Event,New,0,
LEA000272,Lead 271,LinkedIn,Working,0,
LEA000273,Lead 272,LinkedIn,New,0,
LEA000274,Lead 273,Referral,Converted,0,
LEA000275,Lead 274,Referral,Converted,0,
LEA000276,Lead 275,LinkedIn,Qualified,0,
LEA000277,Lead 276,Referral,Working,0,
LEA000278,Lead 277,Event,Converted,0,
LEA000279,Lead 278,Referral,Working,0,
LEA000280,Lead 279,Web,Working,0,
LEA000281,Lead 280,Referral,Qualified,0,
LEA000282,Lead 281,LinkedIn,Converted,0,
LEA000283,Lead 282,Event,Qualified,0,
LEA000284,Lead 283,Event,Qualified,0,
LEA000285,Lead 284,Referral,New,0,
LEA000286,Lead 285,Event,Working,0,
LEA000287,Lead 286,Referral,Working,0,
LEA000288,Lead 287,Event,Qualified,0,
LEA000289,Lead 288,LinkedIn,Converted,0,
LEA000290,Lead 289,LinkedIn,New,0,
LEA000291,Lead 290,LinkedIn,New,0,
LEA000292,Lead 291,Web,Qualified,0,
LEA000293,Lead 292,Web,Working,0,
LEA000294,Lead 293,LinkedIn,Converted,0,
LEA000295,Lead 294,Web,Converted,0,
LEA000296,Lead 295,Web,New,0,
LEA000297,Lead 296,Referral,Qualified,0,
LEA000298,Lead 297,Event,Qualified,0,
LEA000299,Lead 298,Event,Working,0,
LEA000300,Lead 299,Web,Converted,0,
LEA000301,Lead 300,Event,Working,0,
LEA000302,Lead 301,Referral,New,0,
LEA000303,Lead 302,Web,New,0,
LEA000304,Lead 303,Referral,New,0,
LEA000305,Lead 304,Referral,Qualified,0,
LEA000306,Lead 305,LinkedIn,Working,0,
LEA000307,Lead 306,Event,Converted,0,
LEA000308,Lead 307,Referral,New,0,
LEA000309,Lead 308,Referral,New,0,
LEA000310,Lead 309,Event,Qualified,0,
LEA000311,Lead 310,Referral,Converted,0,
LEA000312,Lead 311,LinkedIn,Converted,0,
LEA000313,Lead 312,Referral,Qualified,0,
LEA000314,Lead 313,Referral,Qualified,0,
LEA000315,Lead 314,LinkedIn,New,0,
LEA000316,Lead 315,Event,Working,0,
LEA000317,Lead 316,Referral,Qualified,0,
LEA000318,Lead 317,Event,Qualified,0,
LEA000319,Lead 318,Referral,Working,0,
LEA000320,Lead 319,Referral,New,0,
LEA000321,Lead 320,Web,New,0,
LEA000322,Lead 321,LinkedIn,Qualified,0,
LEA000323,Lead 322,LinkedIn,New,0,
LEA000324,Lead 323,Web,Converted,0,
LEA000325,Lead 324,Event,New,0,
LEA000326,Lead 325,Referral,Converted,0,
LEA000327,Lead 326,LinkedIn,Converted,0,
LEA000328,Lead 327,Web,Qualified,0,
LEA000329,Lead 328,Event,Working,0,
LEA000330,Lead 329,Event,New,0,
LEA000331,Lead 330,Event,Converted,0,
LEA000332,Lead 331,Web,Working,0,
LEA000333,Lead 332,LinkedIn,Qualified,0,
LEA000334,Lead 333,Referral,New,0,
LEA000335,Lead 334,Web,New,0,
LEA000336,Lead 335,Web,New,0,
LEA000337,Lead 336,LinkedIn,Qualified,0,
LEA000338,Lead 337,LinkedIn,Working,0,
LEA000339,Lead 338,Referral,Converted,0,
LEA000340,Lead 339,Web,Qualified,0,
LEA000341,Lead 340,Event,Qualified,0,
LEA000342,Lead 341,Web,Converted,0,
LEA000343,Lead 342,Event,Qualified,0,
LEA000344,Lead 343,LinkedIn,Converted,0,
LEA000345,Lead 344,Referral,New,0,
LEA000346,Lead 345,Event,New,0,
LEA000347,Lead 346,LinkedIn,Working,0,
LEA000348,Lead 347,Event,New,0,
LEA000349,Lead 348,LinkedIn,Qualified,0,
LEA000350,Lead 349,Event,Working,0,
LEA000351,Lead 350,Referral,New,0,
LEA000352,Lead 351,Referral,Converted,0,
LEA000353,Lead 352,Event,Qualified,0,
LEA000354,Lead 353,LinkedIn,New,0,
LEA000355,Lead 354,Event,Working,0,
LEA000356,Lead 355,Referral,Working,0,
LEA000357,Lead 356,Event,Qualified,0,
LEA000358,Lead 357,Referral,Qualified,0,
LEA000359,Lead 358,LinkedIn,New,0,
LEA000360,Lead 359,LinkedIn,Qualified,0,
LEA000361,Lead 360,Referral,Working,0,
LEA000362,Lead 361,Referral,Working,0,
LEA000363,Lead 362,Event,New,0,
LEA000364,Lead 363,Web,Working,0,
LEA000365,Lead 364,Event,Converted,0,
LEA000366,Lead 365,Referral,New,0,
LEA000367,Lead 366,Web,New,0,
LEA000368,Lead 367,LinkedIn,New,0,
LEA000369,Lead 368,Referral,Converted,0,
LEA000370,Lead 369,Referral,Qualified,0,
LEA000371,Lead 370,Referral,New,0,
LEA000372,Lead 371,Event,Qualified,0,
LEA000373,Lead 372,Referral,Working,0,
LEA000374,Lead 373,LinkedIn,Converted,0,
LEA000375,Lead 374,Referral,Working,0,
LEA000376,Lead 375,LinkedIn,New,0,
LEA000377,Lead 376,Referral,Qualified,0,
LEA000378,Lead 377,Web,New,0,
LEA000379,Lead 378,Event,New,0,
LEA000380,Lead 379,LinkedIn,Converted,0,
LEA000381,Lead 380,LinkedIn,New,0,
LEA000382,Lead 381,Event,New,0,
LEA000383,Lead 382,Referral,New,0,
LEA000384,Lead 383,Event,Qualified,0,
LEA000385,Lead 384,LinkedIn,Converted,0,
LEA000386,Lead 385,LinkedIn,Converted,0,
LEA000387,Lead 386,Event,Converted,0,
LEA000388,Lead 387,LinkedIn,Converted,0,
LEA000389,Lead 388,Web,Qualified,0,
LEA000390,Lead 389,Web,Converted,0,
LEA000391,Lead 390,Referral,Working,0,
LEA000392,Lead 391,Event,New,0,
LEA000393,Lead 392,LinkedIn,Converted,0,
LEA000394,Lead 393,Web,New,0,
LEA000395,Lead 394,Referral,Qualified,0,
LEA000396,Lead 395,LinkedIn,Qualified,0,
LEA000397,Lead 396,Event,Qualified,0,
LEA000398,Lead 397,Web,Qualified,0,
LEA000399,Lead 398,Event,Converted,0,
LEA000400,Lead 399,Referral,Qualified,0,
LEA000401,Lead 400,LinkedIn,Converted,0,
LEA000402,Lead 401,Web,Working,0,
LEA000403,Lead 402,Referral,New,0,
LEA000404,Lead 403,Referral,Converted,0,
LEA000405,Lead 404,Event,Working,0,
LEA000406,Lead 405,Referral,Working,0,
LEA000407,Lead 406,Event,Working,0,
LEA000408,Lead 407,LinkedIn,Working,0,
LEA000409,Lead 408,Event,New,0,
LEA000410,Lead 409,LinkedIn,New,0,
LEA000411,Lead 410,Referral,New,0,
LEA000412,Lead 411,Event,New,0,
LEA000413,Lead 412,Referral,Converted,0,
LEA000414,Lead 413,Event,New,0,
LEA000415,Lead 414,Web,New,0,
LEA000416,Lead 415,Event,Converted,0,
LEA000417,Lead 416,Event,New,0,
LEA000418,Lead 417,LinkedIn,Converted,0,
LEA000419,Lead 418,LinkedIn,Converted,0,
LEA000420,Lead 419,Web,Qualified,0,
LEA000421,Lead 420,Event,Working,0,
LEA000422,Lead 421,Referral,Converted,0,
LEA000423,Lead 422,Referral,New,0,
LEA000424,Lead 423,Event,Qualified,0,
LEA000425,Lead 424,Referral,New,0,
LEA000426,Lead 425,Web,Working,0,
LEA000427,Lead 426,Referral,New,0,
LEA000428,Lead 427,Referral,Converted,0,
LEA000429,Lead 428,Event,Working,0,
LEA000430,Lead 429,Web,Converted,0,
LEA000431,Lead 430,Event,New,0,
LEA000432,Lead 431,Referral,New,0,
LEA000433,Lead 432,Referral,Qualified,0,
LEA000434,Lead 433,Web,Qualified,0,
LEA000435,Lead 434,Event,Working,0,
LEA000436,Lead 435,Web,New,0,
LEA000437,Lead 436,LinkedIn,Qualified,0,
LEA000438,Lead 437,Event,Qualified,0,
LEA000439,Lead 438,LinkedIn,New,0,
LEA000440,Lead 439,Web,Qualified,0,
LEA000441,Lead 440,Event,New,0,
LEA000442,Lead 441,Event,Converted,0,
LEA000443,Lead 442,Web,New,0,
LEA000444,Lead 443,Referral,Working,0,
LEA000445,Lead 444,Web,Converted,0,
LEA000446,Lead 445,Referral,New,0,
LEA000447,Lead 446,Web,Converted,0,
LEA000448,Lead 447,Referral,New,0,
LEA000449,Lead 448,Web,Converted,0,
LEA000450,Lead 449,LinkedIn,Converted,0,
LEA000451,Lead 450,Web,Working,0,
LEA000452,Lead 451,Web,Qualified,0,
LEA000453,Lead 452,Referral,New,0,
LEA000454,Lead 453,LinkedIn,Working,0,
LEA000455,Lead 454,Web,Working,0,
LEA000456,Lead 455,LinkedIn,New,0,
LEA000457,Lead 456,LinkedIn,Working,0,
LEA000458,Lead 457,Event,New,0,
LEA000459,Lead 458,Event,Working,0,
LEA000460,Lead 459,Referral,Converted,0,
LEA000461,Lead 460,Referral,Working,0,
LEA000462,Lead 461,Event,Qualified,0,
LEA000463,Lead 462,Event,Converted,0,
LEA000464,Lead 463,Event,Converted,0,
LEA000465,Lead 464,LinkedIn,Qualified,0,
LEA000466,Lead 465,LinkedIn,Working,0,
LEA000467,Lead 466,LinkedIn,Working,0,
LEA000468,Lead 467,Event,New,0,
LEA000469,Lead 468,Referral,Working,0,
LEA000470,Lead 469,Referral,Qualified,0,
LEA000471,Lead 470,LinkedIn,Converted,0,
LEA000472,Lead 471,Event,Qualified,0,
LEA000473,Lead 472,LinkedIn,Working,0,
LEA000474,Lead 473,Referral,New,0,
LEA000475,Lead 474,Event,Converted,0,
LEA000476,Lead 475,LinkedIn,Qualified,0,
LEA000477,Lead 476,Web,Working,0,
LEA000478,Lead 477,Referral,Converted,0,
LEA000479,Lead 478,LinkedIn,Converted,0,
LEA000480,Lead 479,Web,Working,0,
LEA000481,Lead 480,Event,Working,0,
LEA000482,Lead 481,Event,Qualified,0,
LEA000483,Lead 482,Event,Qualified,0,
LEA000484,Lead 483,LinkedIn,Qualified,0,
LEA000485,Lead 484,LinkedIn,Working,0,
LEA000486,Lead 485,Event,Converted,0,
LEA000487,Lead 486,LinkedIn,New,0,
LEA000488,Lead 487,Web,Qualified,0,
LEA000489,Lead 488,Web,Qualified,0,
LEA000490,Lead 489,Web,Qualified,0,
LEA000491,Lead 490,Referral,Qualified,0,
LEA000492,Lead 491,Event,Working,0,
LEA000493,Lead 492,Event,Qualified,0,
LEA000494,Lead 493,Event,Qualified,0,
LEA000495,Lead 494,Referral,New,0,
LEA000496,Lead 495,LinkedIn,Working,0,
LEA000497,Lead 496,Referral,New,0,
LEA000498,Lead 497,Event,Converted,0,
LEA000499,Lead 498,Event,Converted,0,
LEA000500,Lead 499,Referral,Working,0,
LEA000501,Lead 500,LinkedIn,Converted,0,
LEA000502,Lead 501,Referral,Converted,0,
LEA000503,Lead 502,LinkedIn,Qualified,0,
LEA000504,Lead 503,Event,Working,0,
LEA000505,Lead 504,LinkedIn,Qualified,0,
LEA000506,Lead 505,Web,Qualified,0,
LEA000507,Lead 506,Referral,Qualified,0,
LEA000508,Lead 507,Referral,Working,0,
LEA000509,Lead 508,LinkedIn,Converted,0,
LEA000510,Lead 509,LinkedIn,Working,0,
LEA000511,Lead 510,Referral,Working,0,
LEA000512,Lead 511,LinkedIn,New,0,
LEA000513,Lead 512,Web,Qualified,0,
LEA000514,Lead 513,LinkedIn,Working,0,
LEA000515,Lead 514,LinkedIn,Converted,0,
LEA000516,Lead 515,Web,New,0,
LEA000517,Lead 516,LinkedIn,New,0,
LEA000518,Lead 517,LinkedIn,Converted,0,
LEA000519,Lead 518,LinkedIn,Converted,0,
LEA000520,Lead 519,Web,Converted,0,
LEA000521,Lead 520,LinkedIn,Converted,0,
LEA000522,Lead 521,Referral,Working,0,
LEA000523,Lead 522,Event,Qualified,0,
LEA000524,Lead 523,LinkedIn,Converted,0,
LEA000525,Lead 524,Web,Converted,0,
LEA000526,Lead 525,LinkedIn,Qualified,0,
LEA000527,Lead 526,Referral,Working,0,
LEA000528,Lead 527,Event,New,0,
LEA000529,Lead 528,Web,Converted,0,
LEA000530,Lead 529,Referral,Qualified,0,
LEA000531,Lead 530,LinkedIn,Converted,0,
LEA000532,Lead 531,Event,New,0,
LEA000533,Lead 532,LinkedIn,Converted,0,
LEA000534,Lead 533,Event,Qualified,0,
LEA000535,Lead 534,LinkedIn,Qualified,0,
LEA000536,Lead 535,LinkedIn,Converted,0,
LEA000537,Lead 536,Referral,New,0,
LEA000538,Lead 537,Referral,Converted,0,
LEA000539,Lead 538,LinkedIn,New,0,
LEA000540,Lead 539,Event,Converted,0,
LEA000541,Lead 540,Web,Working,0,
LEA000542,Lead 541,LinkedIn,New,0,
LEA000543,Lead 542,Event,New,0,
LEA000544,Lead 543,Web,New,0,
LEA000545,Lead 544,Event,Converted,0,
LEA000546,Lead 545,Referral,New,0,
LEA000547,Lead 546,Event,Working,0,
LEA000548,Lead 547,Event,Converted,0,
LEA000549,Lead 548,Referral,New,0,
LEA000550,Lead 549,Referral,Qualified,0,
LEA000551,Lead 550,Web,Working,0,
LEA000552,Lead 551,Event,New,0,
LEA000553,Lead 552,Web,Converted,0,
LEA000554,Lead 553,Referral,New,0,
LEA000555,Lead 554,LinkedIn,Qualified,0,
LEA000556,Lead 555,Web,Qualified,0,
LEA000557,Lead 556,LinkedIn,New,0,
LEA000558,Lead 557,Referral,Converted,0,
LEA000559,Lead 558,Referral,Working,0,
LEA000560,Lead 559,Referral,Qualified,0,
LEA000561,Lead 560,Web,New,0,
LEA000562,Lead 561,Event,Qualified,0,
LEA000563,Lead 562,Referral,Working,0,
LEA000564,Lead 563,LinkedIn,Working,0,
LEA000565,Lead 564,LinkedIn,New,0,
LEA000566,Lead 565,LinkedIn,Working,0,
LEA000567,Lead 566,Event,New,0,
LEA000568,Lead 567,Event,Qualified,0,
LEA000569,Lead 568,Web,Qualified,0,
LEA000570,Lead 569,Referral,New,0,
LEA000571,Lead 570,Event,Working,0,
LEA000572,Lead 571,Referral,Qualified,0,
LEA000573,Lead 572,Event,New,0,
LEA000574,Lead 573,LinkedIn,Working,0,
LEA000575,Lead 574,Referral,Converted,0,
LEA000576,Lead 575,Referral,New,0,
LEA000577,Lead 576,Referral,Qualified,0,
LEA000578,Lead 577,Referral,Converted,0,
LEA000579,Lead 578,Referral,Working,0,
LEA000580,Lead 579,LinkedIn,Working,0,
LEA000581,Lead 580,Event,Qualified,0,
LEA000582,Lead 581,LinkedIn,Qualified,0,
LEA000583,Lead 582,Referral,Working,0,
LEA000584,Lead 583,Event,Qualified,0,
LEA000585,Lead 584,Web,Converted,0,
LEA000586,Lead 585,LinkedIn,Qualified,0,
LEA000587,Lead 586,Referral,Working,0,
LEA000588,Lead 587,Web,Qualified,0,
LEA000589,Lead 588,Event,New,0,
LEA000590,Lead 589,Event,Working,0,
LEA000591,Lead 590,Referral,Qualified,0,
LEA000592,Lead 591,Referral,Qualified,0,
LEA000593,Lead 592,Web,Converted,0,
LEA000594,Lead 593,Referral,Working,0,
LEA000595,Lead 594,Event,New,0,
LEA000596,Lead 595,Event,Converted,0,
LEA000597,Lead 596,Event,Working,0,
LEA000598,Lead 597,LinkedIn,Converted,0,
LEA000599,Lead 598,LinkedIn,Qualified,0,
LEA000600,Lead 599,Event,Converted,0,
LEA000601,Lead 600,Event,New,0,
LEA000602,Lead 601,LinkedIn,Qualified,0,
LEA000603,Lead 602,LinkedIn,Working,0,
LEA000604,Lead 603,Referral,New,0,
LEA000605,Lead 604,LinkedIn,New,0,
LEA000606,Lead 605,LinkedIn,New,0,
LEA000607,Lead 606,LinkedIn,Converted,0,
LEA000608,Lead 607,Referral,Converted,0,
LEA000609,Lead 608,LinkedIn,New,0,
LEA000610,Lead 609,LinkedIn,Converted,0,
LEA000611,Lead 610,Referral,Working,0,
LEA000612,Lead 611,Web,New,0,
