contact_id,entity_type,completeness_score,validity_score,consistency_score,uniqueness_score,freshness_score,record_quality_score,quality_grade,issue_count,high_severity_issues,module6_golden_record_eligible
CON000032,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000033,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000034,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000037,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000038,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000039,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000040,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000041,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000042,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000043,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000044,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000046,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000047,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000048,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000049,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000050,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000051,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000052,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000054,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000056,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000057,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000059,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000060,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000061,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000062,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000063,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000064,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000065,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000066,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000067,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000068,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000069,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000071,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000072,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000073,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000074,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000075,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000077,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000078,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000079,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000080,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000081,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000082,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000083,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000084,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000085,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000086,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000087,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000088,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000089,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000090,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000091,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000093,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000094,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000095,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000096,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000097,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000098,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000099,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000101,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000102,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000103,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000104,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000105,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000106,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000107,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000108,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000109,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000110,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000111,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000112,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000113,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000114,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000115,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000116,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000117,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000118,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000119,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000121,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000123,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000124,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000125,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000126,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000127,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000129,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000130,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000131,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000132,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000133,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000134,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000136,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000137,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000138,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000139,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000141,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000142,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000143,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000144,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000145,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000146,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000149,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000150,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000152,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000153,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000154,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000155,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000156,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000157,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000158,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000159,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000160,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000161,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000162,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000163,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000164,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000165,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000166,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000167,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000170,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000171,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000172,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000173,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000174,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000175,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000176,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000177,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000178,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000179,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000180,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000182,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000183,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000184,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000185,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000186,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000187,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000188,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000189,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000190,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000191,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000192,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000193,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000194,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000196,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000197,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000198,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000199,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000202,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000203,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000204,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000205,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000206,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000207,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000208,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000210,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000212,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000213,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000214,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000215,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000216,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000217,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000219,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000220,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000221,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000223,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000224,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000225,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000226,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000227,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000228,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000229,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000230,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000232,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000233,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000234,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000235,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000236,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000237,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000238,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000239,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000240,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000241,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000242,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000243,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000244,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000245,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000246,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000247,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000249,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000250,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000252,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000253,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000254,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000255,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000256,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000257,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000258,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000259,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000261,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000262,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000263,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000264,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000265,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000266,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000267,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000268,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000269,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000270,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000271,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000272,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000273,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000274,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000275,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000276,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000277,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000278,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000280,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000282,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000283,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000285,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000286,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000287,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000288,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000289,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000290,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000291,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000293,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000294,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000295,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000296,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000297,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000298,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000299,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000300,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000301,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000302,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000303,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000304,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000305,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000306,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000307,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000308,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000309,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000310,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000311,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000315,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000317,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000318,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000319,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000320,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000321,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000322,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000325,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000326,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000328,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000329,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000330,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000331,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000332,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000333,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000334,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000335,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000336,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000337,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000338,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000339,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000340,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000341,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000343,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000344,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000345,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000346,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000348,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000349,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000350,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000351,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000353,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000354,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000355,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000356,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000357,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000358,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000359,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000360,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000361,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
