account_id,account_name,industry,country,annual_revenue,employee_count,std_flag
ACC000035,Company 35,Healthcare,Germany,86812585,47582,OK
ACC000036,Company 36,Technology,United Kingdom,492568505,11626,OK
ACC000037,Company 37,Finance,Germany,467505133,43767,OK
ACC000038,Company 38,Retail,India,85375218,40833,OK
ACC000039,Company 39,Finance,United Kingdom,144189586,38636,OK
ACC000040,Company 40,Manufacturing,USA,110990308,42732,OK
ACC000041,Company 41,Technology,Australia,445721112,973,OK
ACC000042,Company 42,Finance,India,39889974,35859,OK
ACC000043,Company 43,Retail,United Kingdom,133022598,40576,OK
ACC000044,Company 44,Healthcare,USA,153134862,25562,OK
ACC000045,Company 45,Finance,United Kingdom,306986960,38717,OK
ACC000046,Company 46,Finance,India,418386340,26776,OK
ACC000047,Company 47,Manufacturing,USA,487318879,8171,OK
ACC000048,Company 48,Manufacturing,Germany,49883119,14556,OK
ACC000049,Company 49,Finance,India,81364849,2792,OK
ACC000050,Company 50,Healthcare,USA,262535921,40813,OK
ACC000051,Company 51,Retail,USA,319783258,9002,OK
ACC000052,Company 52,Healthcare,Germany,244986015,49254,OK
ACC000053,Company 53,Healthcare,India,18462418,23214,OK
ACC000054,Company 54,Manufacturing,USA,352896351,32995,OK
ACC000055,Company 55,Manufacturing,USA,49931629,38142,OK
ACC000056,Company 56,Technology,USA,218842013,20536,OK
ACC000057,Company 57,Finance,USA,305980517,21330,OK
ACC000058,Company 58,Manufacturing,India,292805341,12846,OK
ACC000059,Company 59,Retail,India,43440478,3022,OK
ACC000060,Company 60,Manufacturing,United Kingdom,342304983,34162,OK
ACC000061,Company 61,Retail,India,293932076,27077,OK
ACC000062,Company 62,Finance,USA,11889742,42771,OK
ACC000063,Company 63,Technology,USA,72882751,43982,OK
ACC000064,Company 64,Finance,India,227029884,49285,OK
ACC000065,Company 65,Retail,United Kingdom,441177267,40473,OK
ACC000066,Company 66,Healthcare,United Kingdom,350185258,35462,OK
ACC000067,Company 67,Manufacturing,USA,240890426,34414,OK
ACC000068,Company 68,Healthcare,USA,426334480,40292,OK
ACC000069,Company 69,Healthcare,USA,178473514,12959,OK
ACC000070,Company 70,Healthcare,Germany,428494188,23105,OK
ACC000071,Company 71,Finance,United Kingdom,155206446,49373,OK
ACC000072,Company 72,Finance,United Kingdom,424958240,34476,OK
ACC000073,Company 73,Technology,USA,298330632,31166,OK
ACC000074,Company 74,Finance,Australia,46664633,11591,OK
ACC000075,Company 75,Finance,USA,490064791,41616,OK
ACC000076,Company 76,Finance,United Kingdom,467131745,49910,OK
ACC000077,Company 77,Manufacturing,USA,335556301,40404,OK
ACC000078,Company 78,Finance,USA,417516693,17460,OK
ACC000079,Company 79,Finance,Australia,247699056,44458,OK
ACC000080,Company 80,Retail,USA,353056004,12309,OK
ACC000081,Company 81,Technology,Australia,245563959,38807,OK
ACC000082,Company 82,Manufacturing,India,201509012,18160,OK
ACC000083,Company 83,Retail,United Kingdom,129016469,3228,OK
ACC000084,Company 84,Retail,USA,75912527,49115,OK
ACC000085,Company 85,Manufacturing,USA,479034031,49991,OK
ACC000086,Company 86,Finance,Germany,196989914,26163,OK
ACC000087,Company 87,Technology,USA,369786327,1848,OK
ACC000088,Company 88,Retail,USA,237872243,14533,OK
ACC000089,Company 89,Finance,Germany,169154062,35958,OK
ACC000090,Company 90,Finance,USA,102374093,42777,OK
ACC000091,Company 91,Finance,United Kingdom,54603799,49424,OK
ACC000092,Company 92,Finance,USA,337246386,16040,OK
ACC000093,Company 93,Finance,USA,170685577,6494,OK
ACC000094,Company 94,Finance,USA,170071488,39908,OK
ACC000095,Company 95,Healthcare,United Kingdom,314012071,44462,OK
ACC000096,Company 96,Finance,Australia,9978802,2625,OK
ACC000097,Company 97,Manufacturing,Australia,472046018,27658,OK
ACC000098,Company 98,Healthcare,USA,361644444,17729,OK
ACC000099,Company 99,Healthcare,United Kingdom,382330704,43467,OK
ACC000100,Company 100,Technology,India,313897808,39515,OK
ACC000101,Company 101,Retail,USA,498602112,9470,OK
ACC000102,Company 102,Finance,Australia,100625316,31130,OK
ACC000103,Company 103,Technology,USA,214960071,17261,OK
ACC000104,Company 104,Technology,USA,484058438,1673,OK
ACC000105,Company 105,Healthcare,United Kingdom,420395440,49407,OK
ACC000106,Company 106,Manufacturing,India,25373992,33438,OK
ACC000107,Company 107,Healthcare,Germany,301949524,38331,OK
ACC000108,Company 108,Manufacturing,USA,259028773,15978,OK
ACC000109,Company 109,Manufacturing,USA,306496175,14446,OK
ACC000110,Company 110,Technology,USA,83330076,38304,OK
ACC000111,Company 111,Manufacturing,India,179082374,23859,OK
ACC000112,Company 112,Finance,United Kingdom,481253475,37828,OK
ACC000113,Company 113,Finance,USA,465208164,10171,OK
ACC000114,Company 114,Retail,USA,441148878,17816,OK
ACC000115,Company 115,Finance,United Kingdom,276707551,28315,OK
ACC000116,Company 116,Retail,USA,492229518,25666,OK
ACC000117,Company 117,Retail,USA,42308233,21794,OK
ACC000118,Company 118,Finance,India,494078052,14842,OK
ACC000119,Company 119,Healthcare,India,82478045,37436,OK
ACC000120,Company 120,Technology,United Kingdom,126670405,34030,OK
ACC000121,Company 121,Retail,USA,356327345,6399,OK
ACC000122,Company 122,Healthcare,India,165066530,23641,OK
ACC000123,Company 123,Retail,Australia,351541443,29078,OK
ACC000124,Company 124,Healthcare,Australia,463689914,22495,OK
ACC000125,Company 125,Technology,Germany,144695183,45916,OK
ACC000126,Company 126,Retail,USA,292681605,43137,OK
ACC000127,Company 127,Technology,Australia,114338125,39796,OK
ACC000128,Company 128,Manufacturing,India,42439849,9393,OK
ACC000129,Company 129,Healthcare,USA,386736876,5464,OK
ACC000130,Company 130,Finance,USA,347529202,41637,OK
ACC000131,Company 131,Retail,India,451159619,6429,OK
ACC000132,Company 132,Finance,United Kingdom,340486718,19785,OK
ACC000133,Company 133,Retail,India,377022518,41761,OK
ACC000134,Company 134,Healthcare,Australia,94161088,32058,OK
ACC000135,Company 135,Technology,Australia,13954035,44596,OK
ACC000136,Company 136,Finance,USA,110335482,9381,OK
ACC000137,Company 137,Retail,United Kingdom,146826467,24022,OK
ACC000138,Company 138,Healthcare,USA,287737598,10035,OK
ACC000139,Company 139,Finance,USA,177886763,3842,OK
ACC000140,Company 140,Manufacturing,Germany,367469886,45195,OK
ACC000141,Company 141,Technology,USA,118653325,17652,OK
ACC000142,Company 142,Retail,India,348038052,48383,OK
ACC000143,Company 143,Technology,USA,73424203,29530,OK
ACC000144,Company 144,Manufacturing,United Kingdom,67454794,40633,OK
ACC000145,Company 145,Finance,USA,25638122,27067,OK
ACC000146,Company 146,Finance,India,39706357,25953,OK
ACC000147,Company 147,Finance,USA,71839168,44574,OK
ACC000148,Company 148,Technology,Germany,445480275,20779,OK
ACC000149,Company 149,Retail,Australia,73856681,44028,OK
ACC000150,Company 150,Technology,United Kingdom,428931562,47487,OK
ACC000151,Company 151,Finance,Australia,173948158,40436,OK
ACC000152,Company 152,Technology,Australia,103046262,23930,OK
ACC000153,Company 153,Finance,United Kingdom,219347500,49118,OK
ACC000154,Company 154,Technology,United Kingdom,100465342,40779,OK
ACC000155,Company 155,Finance,Germany,209201972,48621,OK
ACC000156,Company 156,Technology,Germany,212691840,35922,OK
ACC000157,Company 157,Healthcare,USA,318031319,32676,OK
ACC000158,Company 158,Finance,Germany,123731281,20671,OK
ACC000159,Company 159,Finance,Australia,34110593,6246,OK
ACC000160,Company 160,Finance,USA,133210179,21082,OK
ACC000161,Company 161,Technology,USA,90957778,11370,OK
ACC000162,Company 162,Finance,India,364339360,40517,OK
ACC000163,Company 163,Manufacturing,Germany,375851961,19766,OK
ACC000164,Company 164,Finance,United Kingdom,292615413,12472,OK
ACC000165,Company 165,Finance,India,401745709,20211,OK
ACC000166,Company 166,Finance,India,59230085,19488,OK
ACC000167,Company 167,Retail,India,148823420,43274,OK
ACC000168,Company 168,Manufacturing,India,40161422,7689,OK
ACC000169,Company 169,Retail,USA,155655012,4569,OK
ACC000170,Company 170,Technology,United Kingdom,143540288,38173,OK
ACC000171,Company 171,Retail,Australia,34006191,10330,OK
ACC000172,Company 172,Technology,Australia,301163324,40579,OK
ACC000173,Company 173,Retail,USA,1475598,28177,OK
ACC000174,Company 174,Healthcare,United Kingdom,324655144,33303,OK
ACC000175,Company 175,Technology,USA,155769497,21980,OK
ACC000176,Company 176,Healthcare,United Kingdom,452210805,40576,OK
ACC000177,Company 177,Finance,Australia,54074487,11511,OK
ACC000178,Company 178,Finance,United Kingdom,424337326,46602,OK
ACC000179,Company 179,Technology,United Kingdom,218953745,44566,OK
ACC000180,Company 180,Finance,United Kingdom,117672106,33053,OK
ACC000181,Company 181,Technology,India,93152177,13063,OK
ACC000182,Company 182,Finance,India,430810904,30288,OK
ACC000183,Company 183,Technology,Australia,486024599,45465,OK
ACC000184,Company 184,Retail,Germany,103276218,49650,OK
ACC000185,Company 185,Retail,Australia,96457190,34971,OK
ACC000186,Company 186,Healthcare,Germany,406448352,13101,OK
ACC000187,Company 187,Healthcare,USA,231296814,6156,OK
ACC000188,Company 188,Healthcare,USA,370817403,1022,OK
ACC000189,Company 189,Technology,USA,214966607,33322,OK
ACC000190,Company 190,Manufacturing,USA,345839892,42844,OK
ACC000191,Company 191,Manufacturing,India,466330999,29611,OK
ACC000192,Company 192,Healthcare,USA,329857354,2719,OK
ACC000193,Company 193,Finance,United Kingdom,36854456,35883,OK
ACC000194,Company 194,Healthcare,Australia,127337183,40833,OK
ACC000195,Company 195,Technology,USA,483876188,31473,OK
ACC000196,Company 196,Finance,India,5059107,46550,OK
ACC000197,Company 197,Healthcare,USA,293926376,48498,OK
ACC000198,Company 198,Manufacturing,United Kingdom,374832971,4387,OK
ACC000199,Company 199,Manufacturing,India,178983213,28708,OK
ACC000200,Company 200,Manufacturing,USA,163005504,6037,OK
ACC000201,Company 201,Retail,United Kingdom,471701124,4122,OK
ACC000202,Company 202,Retail,USA,353015220,9890,OK
ACC000203,Company 203,Finance,USA,398148071,34296,OK
ACC000204,Company 204,Healthcare,USA,405758422,4742,OK
ACC000205,Company 205,Retail,USA,51662427,20034,OK
ACC000206,Company 206,Healthcare,USA,435404537,24277,OK
ACC000207,Company 207,Technology,USA,235880589,45780,OK
ACC000208,Company 208,Healthcare,Germany,168410782,37234,OK
ACC000209,Company 209,Manufacturing,USA,403526464,2542,OK
ACC000210,Company 210,Finance,United Kingdom,353902129,20664,OK
ACC000211,Company 211,Manufacturing,Australia,90729074,27030,OK
ACC000212,Company 212,Finance,Germany,480061062,31263,OK
ACC000213,Company 213,Finance,India,344194826,38986,OK
ACC000214,Company 214,Finance,United Kingdom,438550912,17662,OK
ACC000215,Company 215,Healthcare,India,24700263,31922,OK
ACC000216,Company 216,Retail,USA,177299480,4311,OK
ACC000217,Company 217,Healthcare,USA,347365830,28983,OK
ACC000218,Company 218,Technology,USA,71793194,6205,OK
ACC000219,Company 219,Technology,India,388571850,5431,OK
ACC000220,Company 220,Finance,Germany,177693972,39635,OK
ACC000221,Company 221,Healthcare,Australia,50875231,5468,OK
ACC000222,Company 222,Healthcare,United Kingdom,464147283,11965,OK
ACC000223,Company 223,Finance,USA,169590316,30806,OK
ACC000224,Company 224,Technology,USA,198553923,16494,OK
ACC000225,Company 225,Healthcare,United Kingdom,357065776,48220,OK
ACC000226,Company 226,Finance,India,252264067,46304,OK
ACC000227,Company 227,Healthcare,USA,211419236,568,OK
ACC000228,Company 228,Retail,Germany,52874806,10435,OK
ACC000229,Company 229,Manufacturing,USA,277512892,19717,OK
ACC000230,Company 230,Manufacturing,Australia,147481336,23005,OK
ACC000231,Company 231,Retail,United Kingdom,83700715,30834,OK
ACC000232,Company 232,Finance,USA,145551212,41540,OK
ACC000233,Company 233,Manufacturing,India,9798697,21433,OK
ACC000234,Company 234,Healthcare,Germany,435484495,33356,OK
ACC000235,Company 235,Technology,Germany,450347679,49145,OK
ACC000236,Company 236,Healthcare,United Kingdom,123770438,9417,OK
ACC000237,Company 237,Retail,India,187986208,18389,OK
ACC000238,Company 238,Finance,Australia,270190662,1272,OK
ACC000239,Company 239,Technology,USA,162363138,26418,OK
ACC000240,Company 240,Finance,USA,306084618,45046,OK
ACC000241,Company 241,Finance,Germany,100374873,1011,OK
ACC000242,Company 242,Retail,USA,437493860,695,OK
ACC000243,Company 243,Retail,Germany,497714911,35944,OK
ACC000244,Company 244,Technology,Germany,319790535,49931,OK
ACC000245,Company 245,Retail,Germany,305520166,43758,OK
ACC000246,Company 246,Finance,USA,174654751,30247,OK
ACC000247,Company 247,Finance,United Kingdom,101718307,22069,OK
ACC000248,Company 248,Retail,United Kingdom,319510622,12076,OK
ACC000249,Company 249,Manufacturing,United Kingdom,184233507,18370,OK
ACC000250,Company 250,Healthcare,USA,337710542,18430,OK
ACC000251,Company 251,Technology,Germany,148514627,36727,OK
ACC000252,Company 252,Healthcare,United Kingdom,115219451,25003,OK
ACC000253,Company 253,Retail,United Kingdom,245188405,35748,OK
ACC000254,Company 254,Finance,United Kingdom,143943093,42311,OK
ACC000255,Company 255,Manufacturing,United Kingdom,76453495,32726,OK
ACC000256,Company 256,Retail,USA,173336841,22662,OK
ACC000257,Company 257,Healthcare,United Kingdom,498049332,26312,OK
ACC000258,Company 258,Manufacturing,United Kingdom,166982717,7919,OK
ACC000259,Company 259,Finance,USA,145829621,4403,OK
ACC000260,Company 260,Healthcare,United Kingdom,298781601,24946,OK
ACC000261,Company 261,Technology,United Kingdom,30377689,32710,OK
ACC000262,Company 262,Healthcare,United Kingdom,131301831,39293,OK
ACC000263,Company 263,Healthcare,Germany,99360287,12210,OK
ACC000264,Company 264,Healthcare,USA,50334692,17063,OK
ACC000265,Company 265,Retail,USA,149285165,36606,OK
ACC000266,Company 266,Retail,USA,495920070,1681,OK
ACC000267,Company 267,Finance,Germany,279852528,37064,OK
ACC000268,Company 268,Healthcare,Germany,482997112,47481,OK
ACC000269,Company 269,Technology,India,336667442,15961,OK
ACC000270,Company 270,Manufacturing,USA,472434447,22039,OK
ACC000271,Company 271,Retail,Australia,269205332,18868,OK
ACC000272,Company 272,Healthcare,USA,31426344,6272,OK
ACC000273,Company 273,Retail,United Kingdom,48546882,14469,OK
ACC000274,Company 274,Technology,United Kingdom,203786696,21214,OK
ACC000275,Company 275,Retail,Australia,295396138,19870,OK
ACC000276,Company 276,Finance,United Kingdom,435435298,31741,OK
ACC000277,Company 277,Manufacturing,USA,177979756,29107,OK
ACC000278,Company 278,Technology,USA,290333678,49732,OK
ACC000279,Company 279,Technology,Germany,60412040,39824,OK
ACC000280,Company 280,Healthcare,Australia,108416000,20584,OK
ACC000281,Company 281,Manufacturing,USA,57172106,25154,OK
ACC000282,Company 282,Technology,Australia,240460217,10998,OK
ACC000283,Company 283,Finance,United Kingdom,92481347,37069,OK
ACC000284,Company 284,Technology,India,246232951,12559,OK
ACC000285,Company 285,Finance,USA,55176514,36922,OK
ACC000286,Company 286,Retail,United Kingdom,299666122,18955,OK
ACC000287,Company 287,Healthcare,Germany,196456131,7951,OK
ACC000288,Company 288,Finance,India,167489188,36883,OK
ACC000289,Company 289,Finance,United Kingdom,119383018,22789,OK
ACC000290,Company 290,Technology,United Kingdom,225118534,12906,OK
ACC000291,Company 291,Finance,United Kingdom,386196557,47044,OK
ACC000292,Company 292,Finance,USA,20075804,26738,OK
ACC000293,Company 293,Healthcare,Australia,450164001,7780,OK
ACC000294,Company 294,Finance,USA,393630155,16571,OK
ACC000295,Company 295,Retail,United Kingdom,433389803,21565,OK
ACC000296,Company 296,Manufacturing,United Kingdom,432017467,16135,OK
ACC000297,Company 297,Finance,United Kingdom,438764335,28846,OK
ACC000298,Company 298,Technology,USA,60277922,2510,OK
ACC000299,Company 299,Technology,United Kingdom,231276391,20004,OK
ACC000300,Company 300,Finance,Australia,379190006,21398,OK
ACC000301,Company 301,Manufacturing,USA,461737673,21625,OK
ACC000302,Company 302,Healthcare,USA,33734956,26451,OK
ACC000303,Company 303,Healthcare,USA,83333142,28156,OK
ACC000304,Company 304,Finance,India,76144583,17421,OK
ACC000305,Company 305,Healthcare,United Kingdom,1219393,9250,OK
ACC000306,Company 306,Healthcare,India,167524487,25517,OK
ACC000307,Company 307,Finance,United Kingdom,490460365,15218,OK
ACC000308,Company 308,Healthcare,Australia,280958226,37802,OK
ACC000309,Company 309,Finance,India,186516988,16797,OK
ACC000310,Company 310,Technology,United Kingdom,128957650,27143,OK
ACC000311,Company 311,Retail,Germany,411258261,13652,OK
ACC000312,Company 312,Finance,USA,205757248,4577,OK
ACC000313,Company 313,Manufacturing,USA,294845085,11534,OK
ACC000314,Company 314,Technology,USA,18482881,36905,OK
ACC000315,Company 315,Manufacturing,United Kingdom,246454708,3932,OK
ACC000316,Company 316,Healthcare,USA,462185831,41666,OK
ACC000317,Company 317,Technology,USA,2174704,6103,OK
ACC000318,Company 318,Retail,Australia,100162761,36750,OK
ACC000319,Company 319,Healthcare,United Kingdom,355392164,3582,OK
ACC000320,Company 320,Healthcare,USA,316762841,18394,OK
ACC000321,Company 321,Manufacturing,USA,449245015,21799,OK
ACC000322,Company 322,Manufacturing,United Kingdom,31392341,4436,OK
ACC000323,Company 323,Technology,United Kingdom,57637882,48746,OK
ACC000324,Company 324,Healthcare,USA,273888619,48885,OK
ACC000325,Company 325,Manufacturing,United Kingdom,438682659,23354,OK
ACC000326,Company 326,Manufacturing,USA,274107599,19737,OK
ACC000327,Company 327,Finance,USA,73443312,25664,OK
ACC000328,Company 328,Manufacturing,USA,50339644,14919,OK
ACC000329,Company 329,Manufacturing,USA,198821416,47049,OK
ACC000330,Company 330,Technology,United Kingdom,170596729,44992,OK
ACC000331,Company 331,Technology,United Kingdom,375379352,45750,OK
ACC000332,Company 332,Manufacturing,Australia,98920502,4326,OK
ACC000333,Company 333,Technology,USA,493586726,5154,OK
ACC000334,Company 334,Healthcare,Australia,236172850,5246,OK
ACC000335,Company 335,Healthcare,USA,437650365,36842,OK
ACC000336,Company 336,Retail,USA,380259428,35182,OK
ACC000337,Company 337,Healthcare,USA,452481194,13082,OK
ACC000338,Company 338,Healthcare,India,493749641,27328,OK
ACC000339,Company 339,Finance,Australia,49942976,46837,OK
ACC000340,Company 340,Manufacturing,United Kingdom,213848363,9526,OK
ACC000341,Company 341,Healthcare,Germany,124805693,17085,OK
ACC000342,Company 342,Retail,Germany,333173313,27906,OK
ACC000343,Company 343,Manufacturing,Australia,460032406,13857,OK
ACC000344,Company 344,Retail,Germany,80595624,30806,OK
ACC000345,Company 345,Technology,USA,228037492,29782,OK
ACC000346,Company 346,Healthcare,Germany,88883078,48918,OK
ACC000347,Company 347,Healthcare,India,422034857,39334,OK
ACC000348,Company 348,Finance,United Kingdom,113173569,6818,OK
ACC000349,Company 349,Manufacturing,United Kingdom,183282017,42189,OK
ACC000350,Company 350,Retail,USA,119766547,37863,OK
ACC000351,Company 351,Healthcare,Australia,427227849,45978,OK
ACC000352,Company 352,Retail,USA,375636064,29068,OK
ACC000353,Company 353,Manufacturing,United Kingdom,197719801,31315,OK
ACC000354,Company 354,Healthcare,India,157903807,42224,OK
ACC000355,Company 355,Finance,United Kingdom,287265827,45185,OK
ACC000356,Company 356,Retail,USA,232604955,34445,OK
ACC000357,Company 357,Healthcare,United Kingdom,182848420,37816,OK
ACC000358,Company 358,Manufacturing,Germany,157079192,3366,OK
ACC000359,Company 359,Manufacturing,India,269385487,13325,OK
ACC000360,Company 360,Manufacturing,USA,286629137,7037,OK
ACC000361,Company 361,Manufacturing,United Kingdom,46450361,10661,OK
ACC000362,Company 362,Finance,India,93286491,1188,OK
ACC000363,Company 363,Finance,United Kingdom,425894211,9716,OK
ACC000364,Company 364,Finance,United Kingdom,452149668,35875,OK
ACC000365,Company 365,Healthcare,USA,30713803,26245,OK
ACC000366,Company 366,Healthcare,United Kingdom,186560508,7794,OK
ACC000367,Company 367,Finance,Australia,419099454,22292,OK
ACC000368,Company 368,Healthcare,India,315974435,5517,OK
ACC000369,Company 369,Healthcare,USA,185903902,1671,OK
ACC000370,Company 370,Healthcare,United Kingdom,481860094,23121,OK
ACC000371,Company 371,Retail,United Kingdom,439918582,36465,OK
ACC000372,Company 372,Finance,USA,483999526,26927,OK
ACC000373,Company 373,Technology,USA,138169090,28051,OK
ACC000374,Company 374,Finance,India,302122988,5339,OK
ACC000375,Company 375,Healthcare,USA,60887546,10268,OK
ACC000376,Company 376,Finance,Germany,309373186,27057,OK
ACC000377,Company 377,Finance,Australia,290690208,26532,OK
ACC000378,Company 378,Manufacturing,Australia,385139950,3808,OK
ACC000379,Company 379,Healthcare,USA,139929946,17795,OK
ACC000380,Company 380,Technology,USA,309419941,44757,OK
ACC000381,Company 381,Manufacturing,USA,369017110,14127,OK
ACC000382,Company 382,Technology,USA,259302649,7301,OK
ACC000383,Company 383,Retail,USA,134375440,35128,OK
ACC000384,Company 384,Manufacturing,Germany,244494433,44384,OK
ACC000385,Company 385,Technology,USA,476020119,12815,OK
ACC000386,Company 386,Healthcare,Germany,317363875,37919,OK
ACC000387,Company 387,Healthcare,United Kingdom,167040725,8341,OK
ACC000388,Company 388,Healthcare,Australia,270326286,27620,OK
ACC000389,Company 389,Retail,Germany,489702494,1920,OK
ACC000390,Company 390,Retail,United Kingdom,351344303,44015,OK
ACC000391,Company 391,Finance,United Kingdom,236771683,32277,OK
ACC000392,Company 392,Manufacturing,Germany,79484773,2364,OK
ACC000393,Company 393,Manufacturing,India,371031742,36854,OK
ACC000394,Company 394,Technology,USA,47152519,6407,OK
ACC000395,Company 395,Manufacturing,USA,57668346,44605,OK
ACC000396,Company 396,Retail,USA,23419356,25587,OK
ACC000397,Company 397,Healthcare,USA,239190068,46743,OK
ACC000398,Company 398,Healthcare,USA,476851748,23036,OK
ACC000399,Company 399,Finance,Australia,407685173,22914,OK
ACC000400,Company 400,Retail,Germany,140264869,40072,OK
ACC000401,Company 401,Finance,United Kingdom,103910513,18015,OK
ACC000402,Company 402,Manufacturing,Germany,233509662,47017,OK
ACC000403,Company 403,Healthcare,United Kingdom,403642435,36295,OK
ACC000404,Company 404,Retail,United Kingdom,275346490,40204,OK
ACC000405,Company 405,Healthcare,India,72472199,253,OK
ACC000406,Company 406,Healthcare,Germany,238391904,7950,OK
ACC000407,Company 407,Technology,Australia,327062994,17235,OK
ACC000408,Company 408,Retail,Australia,76496673,45914,OK
ACC000409,Company 409,Technology,India,292241980,44268,OK
ACC000410,Company 410,Finance,United Kingdom,97967620,42328,OK
ACC000411,Company 411,Finance,Germany,385890868,9751,OK
ACC000412,Company 412,Manufacturing,Australia,440764631,7640,OK
ACC000413,Company 413,Retail,United Kingdom,456700838,32486,OK
ACC000414,Company 414,Finance,Germany,180424479,42858,OK
ACC000415,Company 415,Manufacturing,United Kingdom,310765386,6064,OK
ACC000416,Company 416,Technology,United Kingdom,106802507,32893,OK
ACC000417,Company 417,Healthcare,USA,345831862,27908,OK
ACC000418,Company 418,Retail,USA,343577204,35082,OK
ACC000419,Company 419,Retail,United Kingdom,112116983,23357,OK
ACC000420,Company 420,Healthcare,USA,470558422,9577,OK
ACC000421,Company 421,Manufacturing,USA,15658492,10254,OK
ACC000422,Company 422,Manufacturing,USA,189059032,28609,OK
ACC000423,Company 423,Technology,Germany,82574296,4151,OK
ACC000424,Company 424,Technology,United Kingdom,378233220,5480,OK
ACC000425,Company 425,Manufacturing,United Kingdom,458810619,38173,OK
ACC000426,Company 426,Finance,USA,372890082,27741,OK
ACC000427,Company 427,Manufacturing,Australia,205675541,30961,OK
ACC000428,Company 428,Healthcare,United Kingdom,476888193,4567,OK
ACC000429,Company 429,Retail,USA,219029879,34043,OK
ACC000430,Company 430,Finance,Germany,96616326,25937,OK
ACC000431,Company 431,Retail,Australia,117908041,16531,OK
ACC000432,Company 432,Healthcare,USA,50507208,32718,OK
ACC000433,Company 433,Healthcare,Germany,73815279,11937,OK
ACC000434,Company 434,Finance,Australia,209218473,14316,OK
ACC000435,Company 435,Finance,United Kingdom,438482102,32289,OK
ACC000436,Company 436,Technology,United Kingdom,369626066,12026,OK
ACC000437,Company 437,Manufacturing,Australia,354901630,37600,OK
ACC000438,Company 438,Technology,India,269634986,11938,OK
ACC000439,Company 439,Manufacturing,Germany,365571215,5199,OK
ACC000440,Company 440,Technology,United Kingdom,323415674,31918,OK
ACC000441,Company 441,Technology,United Kingdom,272726474,44208,OK
ACC000442,Company 442,Retail,United Kingdom,194646463,33710,OK
ACC000443,Company 443,Retail,United Kingdom,144311095,49365,OK
ACC000444,Company 444,Healthcare,United Kingdom,363907661,46172,OK
ACC000445,Company 445,Retail,USA,203304374,29680,OK
ACC000446,Company 446,Healthcare,India,405554246,10439,OK
ACC000447,Company 447,Healthcare,Germany,278457353,43672,OK
ACC000448,Company 448,Healthcare,Australia,494918520,3810,OK
ACC000449,Company 449,Healthcare,United Kingdom,429276167,22927,OK
ACC000450,Company 450,Retail,United Kingdom,313665896,16016,OK
ACC000451,Company 451,Finance,USA,304167238,48932,OK
ACC000452,Company 452,Finance,USA,362820959,22968,OK
ACC000453,Company 453,Finance,India,252816115,21902,OK
ACC000454,Company 454,Manufacturing,USA,448254479,9868,OK
ACC000455,Company 455,Retail,USA,97633510,31374,OK
ACC000456,Company 456,Healthcare,India,92110067,26978,OK
ACC000457,Company 457,Finance,USA,207445677,49268,OK
ACC000458,Company 458,Finance,USA,120092086,34642,OK
ACC000459,Company 459,Manufacturing,United Kingdom,418712621,45205,OK
ACC000460,Company 460,Technology,Germany,103337204,16052,OK
ACC000461,Company 461,Manufacturing,USA,90254021,20325,OK
ACC000462,Company 462,Retail,India,181976082,14990,OK
ACC000463,Company 463,Retail,Australia,499500867,404,OK
