golden_lead_id,surviving_lead_id,source_lead_ids,lead_name,source,status,record_quality_score,quality_grade,survivorship_reason,records_merged_count
GOLD_LED_000056,LEA000056,LEA000056,Lead 55,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000057,LEA000057,LEA000057,Lead 56,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000058,LEA000058,LEA000058,Lead 57,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000059,LEA000059,LEA000059,Lead 58,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000060,LEA000060,LEA000060,Lead 59,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000061,LEA000061,LEA000061,Lead 60,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000062,LEA000062,LEA000062,Lead 61,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000063,LEA000063,LEA000063,Lead 62,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000064,LEA000064,LEA000064,Lead 63,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000065,LEA000065,LEA000065,Lead 64,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000066,LEA000066,LEA000066,Lead 65,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000067,LEA000067,LEA000067,Lead 66,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000068,LEA000068,LEA000068,Lead 67,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000069,LEA000069,LEA000069,Lead 68,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000070,LEA000070,LEA000070,Lead 69,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000071,LEA000071,LEA000071,Lead 70,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000072,LEA000072,LEA000072,Lead 71,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000073,LEA000073,LEA000073,Lead 72,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000074,LEA000074,LEA000074,Lead 73,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000075,LEA000075,LEA000075,Lead 74,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000076,LEA000076,LEA000076,Lead 75,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000077,LEA000077,LEA000077,Lead 76,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000078,LEA000078,LEA000078,Lead 77,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000079,LEA000079,LEA000079,Lead 78,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000080,LEA000080,LEA000080,Lead 79,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000081,LEA000081,LEA000081,Lead 80,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000082,LEA000082,LEA000082,Lead 81,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000083,LEA000083,LEA000083,Lead 82,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000084,LEA000084,LEA000084,Lead 83,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000085,LEA000085,LEA000085,Lead 84,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000086,LEA000086,LEA000086,Lead 85,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000087,LEA000087,LEA000087,Lead 86,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000088,LEA000088,LEA000088,Lead 87,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000089,LEA000089,LEA000089,Lead 88,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000090,LEA000090,LEA000090,Lead 89,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000091,LEA000091,LEA000091,Lead 90,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000092,LEA000092,LEA000092,Lead 91,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000093,LEA000093,LEA000093,Lead 92,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000094,LEA000094,LEA000094,Lead 93,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000095,LEA000095,LEA000095,Lead 94,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000096,LEA000096,LEA000096,Lead 95,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000097,LEA000097,LEA000097,Lead 96,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000098,LEA000098,LEA000098,Lead 97,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000099,LEA000099,LEA000099,Lead 98,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000100,LEA000100,LEA000100,Lead 99,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000101,LEA000101,LEA000101,Lead 100,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000102,LEA000102,LEA000102,Lead 101,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000103,LEA000103,LEA000103,Lead 102,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000104,LEA000104,LEA000104,Lead 103,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000105,LEA000105,LEA000105,Lead 104,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000106,LEA000106,LEA000106,Lead 105,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000107,LEA000107,LEA000107,Lead 106,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000108,LEA000108,LEA000108,Lead 107,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000109,LEA000109,LEA000109,Lead 108,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000110,LEA000110,LEA000110,Lead 109,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000111,LEA000111,LEA000111,Lead 110,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000112,LEA000112,LEA000112,Lead 111,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000113,LEA000113,LEA000113,Lead 112,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000114,LEA000114,LEA000114,Lead 113,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000115,LEA000115,LEA000115,Lead 114,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000116,LEA000116,LEA000116,Lead 115,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000117,LEA000117,LEA000117,Lead 116,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000118,LEA000118,LEA000118,Lead 117,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000119,LEA000119,LEA000119,Lead 118,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000120,LEA000120,LEA000120,Lead 119,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000121,LEA000121,LEA000121,Lead 120,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000122,LEA000122,LEA000122,Lead 121,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000123,LEA000123,LEA000123,Lead 122,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000124,LEA000124,LEA000124,Lead 123,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000125,LEA000125,LEA000125,Lead 124,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000126,LEA000126,LEA000126,Lead 125,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000127,LEA000127,LEA000127,Lead 126,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000128,LEA000128,LEA000128,Lead 127,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000129,LEA000129,LEA000129,Lead 128,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000130,LEA000130,LEA000130,Lead 129,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000131,LEA000131,LEA000131,Lead 130,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000132,LEA000132,LEA000132,Lead 131,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000133,LEA000133,LEA000133,Lead 132,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000134,LEA000134,LEA000134,Lead 133,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000135,LEA000135,LEA000135,Lead 134,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000136,LEA000136,LEA000136,Lead 135,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000137,LEA000137,LEA000137,Lead 136,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000138,LEA000138,LEA000138,Lead 137,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000139,LEA000139,LEA000139,Lead 138,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000140,LEA000140,LEA000140,Lead 139,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000141,LEA000141,LEA000141,Lead 140,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000142,LEA000142,LEA000142,Lead 141,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000143,LEA000143,LEA000143,Lead 142,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000144,LEA000144,LEA000144,Lead 143,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000145,LEA000145,LEA000145,Lead 144,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000146,LEA000146,LEA000146,Lead 145,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000147,LEA000147,LEA000147,Lead 146,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000148,LEA000148,LEA000148,Lead 147,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000149,LEA000149,LEA000149,Lead 148,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000150,LEA000150,LEA000150,Lead 149,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000151,LEA000151,LEA000151,Lead 150,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000152,LEA000152,LEA000152,Lead 151,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000153,LEA000153,LEA000153,Lead 152,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000154,LEA000154,LEA000154,Lead 153,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000155,LEA000155,LEA000155,Lead 154,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000156,LEA000156,LEA000156,Lead 155,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000157,LEA000157,LEA000157,Lead 156,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000158,LEA000158,LEA000158,Lead 157,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000159,LEA000159,LEA000159,Lead 158,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000160,LEA000160,LEA000160,Lead 159,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000161,LEA000161,LEA000161,Lead 160,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000162,LEA000162,LEA000162,Lead 161,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000163,LEA000163,LEA000163,Lead 162,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000164,LEA000164,LEA000164,Lead 163,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000165,LEA000165,LEA000165,Lead 164,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000166,LEA000166,LEA000166,Lead 165,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000167,LEA000167,LEA000167,Lead 166,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000168,LEA000168,LEA000168,Lead 167,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000169,LEA000169,LEA000169,Lead 168,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000170,LEA000170,LEA000170,Lead 169,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000171,LEA000171,LEA000171,Lead 170,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000172,LEA000172,LEA000172,Lead 171,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000173,LEA000173,LEA000173,Lead 172,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000174,LEA000174,LEA000174,Lead 173,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000175,LEA000175,LEA000175,Lead 174,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000176,LEA000176,LEA000176,Lead 175,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000177,LEA000177,LEA000177,Lead 176,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000178,LEA000178,LEA000178,Lead 177,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000179,LEA000179,LEA000179,Lead 178,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000180,LEA000180,LEA000180,Lead 179,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000181,LEA000181,LEA000181,Lead 180,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000182,LEA000182,LEA000182,Lead 181,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000183,LEA000183,LEA000183,Lead 182,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000184,LEA000184,LEA000184,Lead 183,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000185,LEA000185,LEA000185,Lead 184,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000186,LEA000186,LEA000186,Lead 185,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000187,LEA000187,LEA000187,Lead 186,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000188,LEA000188,LEA000188,Lead 187,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000189,LEA000189,LEA000189,Lead 188,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000190,LEA000190,LEA000190,Lead 189,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000191,LEA000191,LEA000191,Lead 190,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000192,LEA000192,LEA000192,Lead 191,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000193,LEA000193,LEA000193,Lead 192,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000194,LEA000194,LEA000194,Lead 193,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000195,LEA000195,LEA000195,Lead 194,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000196,LEA000196,LEA000196,Lead 195,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000197,LEA000197,LEA000197,Lead 196,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000198,LEA000198,LEA000198,Lead 197,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000199,LEA000199,LEA000199,Lead 198,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000200,LEA000200,LEA000200,Lead 199,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000201,LEA000201,LEA000201,Lead 200,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000202,LEA000202,LEA000202,Lead 201,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000203,LEA000203,LEA000203,Lead 202,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000204,LEA000204,LEA000204,Lead 203,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000205,LEA000205,LEA000205,Lead 204,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000206,LEA000206,LEA000206,Lead 205,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000207,LEA000207,LEA000207,Lead 206,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000208,LEA000208,LEA000208,Lead 207,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000209,LEA000209,LEA000209,Lead 208,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000210,LEA000210,LEA000210,Lead 209,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000211,LEA000211,LEA000211,Lead 210,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000212,LEA000212,LEA000212,Lead 211,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000213,LEA000213,LEA000213,Lead 212,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000214,LEA000214,LEA000214,Lead 213,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000215,LEA000215,LEA000215,Lead 214,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000216,LEA000216,LEA000216,Lead 215,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000217,LEA000217,LEA000217,Lead 216,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000218,LEA000218,LEA000218,Lead 217,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000219,LEA000219,LEA000219,Lead 218,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000220,LEA000220,LEA000220,Lead 219,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000221,LEA000221,LEA000221,Lead 220,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000222,LEA000222,LEA000222,Lead 221,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000223,LEA000223,LEA000223,Lead 222,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000224,LEA000224,LEA000224,Lead 223,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000225,LEA000225,LEA000225,Lead 224,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000226,LEA000226,LEA000226,Lead 225,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000227,LEA000227,LEA000227,Lead 226,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000228,LEA000228,LEA000228,Lead 227,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000229,LEA000229,LEA000229,Lead 228,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000230,LEA000230,LEA000230,Lead 229,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000231,LEA000231,LEA000231,Lead 230,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000232,LEA000232,LEA000232,Lead 231,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000233,LEA000233,LEA000233,Lead 232,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000234,LEA000234,LEA000234,Lead 233,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000235,LEA000235,LEA000235,Lead 234,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000236,LEA000236,LEA000236,Lead 235,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000237,LEA000237,LEA000237,Lead 236,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000238,LEA000238,LEA000238,Lead 237,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000239,LEA000239,LEA000239,Lead 238,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000240,LEA000240,LEA000240,Lead 239,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000241,LEA000241,LEA000241,Lead 240,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000242,LEA000242,LEA000242,Lead 241,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000243,LEA000243,LEA000243,Lead 242,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000244,LEA000244,LEA000244,Lead 243,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000245,LEA000245,LEA000245,Lead 244,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000246,LEA000246,LEA000246,Lead 245,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000247,LEA000247,LEA000247,Lead 246,Referral,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000248,LEA000248,LEA000248,Lead 247,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000249,LEA000249,LEA000249,Lead 248,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000250,LEA000250,LEA000250,Lead 249,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000251,LEA000251,LEA000251,Lead 250,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000252,LEA000252,LEA000252,Lead 251,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000253,LEA000253,LEA000253,Lead 252,Referral,Qualified,75.0,C,Highest record_quality_score,1
