account_id,account_name,industry,country,annual_revenue,employee_count
ACC000167,Company 167,Retail,India,148823420,43274
ACC000168,Company 168,Manufacturing,India,40161422,7689
ACC000169,Company 169,Retail,United States,155655012,4569
ACC000170,Company 170,Technology,United Kingdom,143540288,38173
ACC000171,Company 171,Retail,Australia,34006191,10330
ACC000172,Company 172,Technology,Australia,301163324,40579
ACC000173,Company 173,Retail,USA,1475598,28177
ACC000174,Company 174,Healthcare,UK,324655144,33303
ACC000175,Company 175,Technology,U.S.,155769497,21980
ACC000176,Company 176,Healthcare,United Kingdom,452210805,40576
ACC000177,Company 177,Finance,Australia,54074487,11511
ACC000178,Company 178,Finance,UK,424337326,46602
ACC000179,Company 179,Technology,UK,218953745,44566
ACC000180,Company 180,Finance,UK,117672106,33053
ACC000181,Company 181,Technology,India,93152177,13063
ACC000182,Company 182,Finance,India,430810904,30288
ACC000183,Company 183,Technology,Australia,486024599,45465
ACC000184,Company 184,Retail,Germany,103276218,49650
ACC000185,Company 185,Retail,Australia,96457190,34971
ACC000186,Company 186,Healthcare,Germany,406448352,13101
ACC000187,Company 187,Healthcare,USA,231296814,6156
ACC000188,Company 188,Healthcare,USA,370817403,1022
ACC000189,Company 189,Technology,USA,214966607,33322
ACC000190,Company 190,Manufacturing,U.S.,345839892,42844
ACC000191,Company 191,Manufacturing,India,466330999,29611
ACC000192,Company 192,Healthcare,USA,329857354,2719
ACC000193,Company 193,Finance,UK,36854456,35883
ACC000194,Company 194,Healthcare,Australia,127337183,40833
ACC000195,Company 195,Technology,USA,483876188,31473
ACC000196,Company 196,Finance,India,5059107,46550
ACC000197,Company 197,Healthcare,USA,293926376,48498
ACC000198,Company 198,Manufacturing,United Kingdom,374832971,4387
ACC000199,Company 199,Manufacturing,India,178983213,28708
ACC000200,Company 200,Manufacturing,USA,163005504,6037
ACC000201,Company 201,Retail,United Kingdom,471701124,4122
ACC000202,Company 202,Retail,USA,353015220,9890
ACC000203,Company 203,Finance,U.S.,398148071,34296
ACC000204,Company 204,Healthcare,U.S.,405758422,4742
ACC000205,Company 205,Retail,USA,51662427,20034
ACC000206,Company 206,Healthcare,USA,435404537,24277
ACC000207,Company 207,Technology,USA,235880589,45780
ACC000208,Company 208,Healthcare,Germany,168410782,37234
ACC000209,Company 209,Manufacturing,United States,403526464,2542
ACC000210,Company 210,Finance,United Kingdom,353902129,20664
ACC000211,Company 211,Manufacturing,Australia,90729074,27030
ACC000212,Company 212,Finance,Germany,480061062,31263
ACC000213,Company 213,Finance,India,344194826,38986
ACC000214,Company 214,Finance,United Kingdom,438550912,17662
ACC000215,Company 215,Healthcare,India,24700263,31922
ACC000216,Company 216,Retail,USA,177299480,4311
ACC000217,Company 217,Healthcare,United States,347365830,28983
ACC000218,Company 218,Technology,United States,71793194,6205
ACC000219,Company 219,Technology,India,388571850,5431
ACC000220,Company 220,Finance,Germany,177693972,39635
ACC000221,Company 221,Healthcare,Australia,50875231,5468
ACC000222,Company 222,Healthcare,United Kingdom,464147283,11965
ACC000223,Company 223,Finance,U.S.,169590316,30806
ACC000224,Company 224,Technology,United States,198553923,16494
ACC000225,Company 225,Healthcare,UK,357065776,48220
ACC000226,Company 226,Finance,India,252264067,46304
ACC000227,Company 227,Healthcare,United States,211419236,568
ACC000228,Company 228,Retail,Germany,52874806,10435
ACC000229,Company 229,Manufacturing,USA,277512892,19717
ACC000230,Company 230,Manufacturing,Australia,147481336,23005
ACC000231,Company 231,Retail,United Kingdom,83700715,30834
ACC000232,Company 232,Finance,United States,145551212,41540
ACC000233,Company 233,Manufacturing,India,9798697,21433
ACC000234,Company 234,Healthcare,Germany,435484495,33356
ACC000235,Company 235,Technology,Germany,450347679,49145
ACC000236,Company 236,Healthcare,United Kingdom,123770438,9417
ACC000237,Company 237,Retail,India,187986208,18389
ACC000238,Company 238,Finance,Australia,270190662,1272
ACC000239,Company 239,Technology,United States,162363138,26418
ACC000240,Company 240,Finance,United States,306084618,45046
ACC000241,Company 241,Finance,Germany,100374873,1011
ACC000242,Company 242,Retail,U.S.,437493860,695
ACC000243,Company 243,Retail,Germany,497714911,35944
ACC000244,Company 244,Technology,Germany,319790535,49931
ACC000245,Company 245,Retail,Germany,305520166,43758
ACC000246,Company 246,Finance,U.S.,174654751,30247
ACC000247,Company 247,Finance,United Kingdom,101718307,22069
ACC000248,Company 248,Retail,United Kingdom,319510622,12076
ACC000249,Company 249,Manufacturing,United Kingdom,184233507,18370
ACC000250,Company 250,Healthcare,U.S.,337710542,18430
ACC000251,Company 251,Technology,Germany,148514627,36727
ACC000252,Company 252,Healthcare,UK,115219451,25003
ACC000253,Company 253,Retail,United Kingdom,245188405,35748
ACC000254,Company 254,Finance,UK,143943093,42311
ACC000255,Company 255,Manufacturing,United Kingdom,76453495,32726
ACC000256,Company 256,Retail,United States,173336841,22662
ACC000257,Company 257,Healthcare,UK,498049332,26312
ACC000258,Company 258,Manufacturing,United Kingdom,166982717,7919
ACC000259,Company 259,Finance,U.S.,145829621,4403
ACC000260,Company 260,Healthcare,UK,298781601,24946
ACC000261,Company 261,Technology,UK,30377689,32710
ACC000262,Company 262,Healthcare,UK,131301831,39293
ACC000263,Company 263,Healthcare,Germany,99360287,12210
ACC000264,Company 264,Healthcare,U.S.,50334692,17063
ACC000265,Company 265,Retail,USA,149285165,36606
ACC000266,Company 266,Retail,U.S.,495920070,1681
ACC000267,Company 267,Finance,Germany,279852528,37064
ACC000268,Company 268,Healthcare,Germany,482997112,47481
ACC000269,Company 269,Technology,India,336667442,15961
ACC000270,Company 270,Manufacturing,USA,472434447,22039
ACC000271,Company 271,Retail,Australia,269205332,18868
ACC000272,Company 272,Healthcare,USA,31426344,6272
ACC000273,Company 273,Retail,UK,48546882,14469
ACC000274,Company 274,Technology,United Kingdom,203786696,21214
ACC000275,Company 275,Retail,Australia,295396138,19870
ACC000276,Company 276,Finance,United Kingdom,435435298,31741
ACC000277,Company 277,Manufacturing,USA,177979756,29107
ACC000278,Company 278,Technology,USA,290333678,49732
ACC000279,Company 279,Technology,Germany,60412040,39824
ACC000280,Company 280,Healthcare,Australia,108416000,20584
ACC000281,Company 281,Manufacturing,USA,57172106,25154
ACC000282,Company 282,Technology,Australia,240460217,10998
ACC000283,Company 283,Finance,UK,92481347,37069
ACC000284,Company 284,Technology,India,246232951,12559
ACC000285,Company 285,Finance,USA,55176514,36922
ACC000286,Company 286,Retail,United Kingdom,299666122,18955
ACC000287,Company 287,Healthcare,Germany,196456131,7951
ACC000288,Company 288,Finance,India,167489188,36883
ACC000289,Company 289,Finance,UK,119383018,22789
ACC000290,Company 290,Technology,UK,225118534,12906
ACC000291,Company 291,Finance,UK,386196557,47044
ACC000292,Company 292,Finance,USA,20075804,26738
ACC000293,Company 293,Healthcare,Australia,450164001,7780
ACC000294,Company 294,Finance,United States,393630155,16571
ACC000295,Company 295,Retail,UK,433389803,21565
ACC000296,Company 296,Manufacturing,United Kingdom,432017467,16135
ACC000297,Company 297,Finance,UK,438764335,28846
ACC000298,Company 298,Technology,U.S.,60277922,2510
ACC000299,Company 299,Technology,UK,231276391,20004
ACC000300,Company 300,Finance,Australia,379190006,21398
ACC000301,Company 301,Manufacturing,United States,461737673,21625
ACC000302,Company 302,Healthcare,United States,33734956,26451
ACC000303,Company 303,Healthcare,U.S.,83333142,28156
ACC000304,Company 304,Finance,India,76144583,17421
ACC000305,Company 305,Healthcare,United Kingdom,1219393,9250
ACC000306,Company 306,Healthcare,India,167524487,25517
ACC000307,Company 307,Finance,UK,490460365,15218
ACC000308,Company 308,Healthcare,Australia,280958226,37802
ACC000309,Company 309,Finance,India,186516988,16797
ACC000310,Company 310,Technology,UK,128957650,27143
ACC000311,Company 311,Retail,Germany,411258261,13652
ACC000312,Company 312,Finance,USA,205757248,4577
ACC000313,Company 313,Manufacturing,USA,294845085,11534
ACC000314,Company 314,Technology,USA,18482881,36905
ACC000315,Company 315,Manufacturing,UK,246454708,3932
ACC000316,Company 316,Healthcare,USA,462185831,41666
ACC000317,Company 317,Technology,U.S.,2174704,6103
ACC000318,Company 318,Retail,Australia,100162761,36750
ACC000319,Company 319,Healthcare,United Kingdom,355392164,3582
ACC000320,Company 320,Healthcare,USA,316762841,18394
ACC000321,Company 321,Manufacturing,United States,449245015,21799
ACC000322,Company 322,Manufacturing,UK,31392341,4436
ACC000323,Company 323,Technology,United Kingdom,57637882,48746
ACC000324,Company 324,Healthcare,U.S.,273888619,48885
ACC000325,Company 325,Manufacturing,United Kingdom,438682659,23354
ACC000326,Company 326,Manufacturing,United States,274107599,19737
ACC000327,Company 327,Finance,USA,73443312,25664
ACC000328,Company 328,Manufacturing,U.S.,50339644,14919
ACC000329,Company 329,Manufacturing,USA,198821416,47049
ACC000330,Company 330,Technology,UK,170596729,44992
ACC000331,Company 331,Technology,UK,375379352,45750
ACC000332,Company 332,Manufacturing,Australia,98920502,4326
ACC000333,Company 333,Technology,USA,493586726,5154
ACC000334,Company 334,Healthcare,Australia,236172850,5246
ACC000335,Company 335,Healthcare,United States,437650365,36842
ACC000336,Company 336,Retail,U.S.,380259428,35182
ACC000337,Company 337,Healthcare,U.S.,452481194,13082
ACC000338,Company 338,Healthcare,India,493749641,27328
ACC000339,Company 339,Finance,Australia,49942976,46837
ACC000340,Company 340,Manufacturing,United Kingdom,213848363,9526
ACC000341,Company 341,Healthcare,Germany,124805693,17085
ACC000342,Company 342,Retail,Germany,333173313,27906
ACC000343,Company 343,Manufacturing,Australia,460032406,13857
ACC000344,Company 344,Retail,Germany,80595624,30806
ACC000345,Company 345,Technology,United States,228037492,29782
ACC000346,Company 346,Healthcare,Germany,88883078,48918
ACC000347,Company 347,Healthcare,India,422034857,39334
ACC000348,Company 348,Finance,UK,113173569,6818
ACC000349,Company 349,Manufacturing,UK,183282017,42189
ACC000350,Company 350,Retail,USA,119766547,37863
ACC000351,Company 351,Healthcare,Australia,427227849,45978
ACC000352,Company 352,Retail,USA,375636064,29068
ACC000353,Company 353,Manufacturing,United Kingdom,197719801,31315
ACC000354,Company 354,Healthcare,India,157903807,42224
ACC000355,Company 355,Finance,UK,287265827,45185
ACC000356,Company 356,Retail,USA,232604955,34445
ACC000357,Company 357,Healthcare,United Kingdom,182848420,37816
ACC000358,Company 358,Manufacturing,Germany,157079192,3366
ACC000359,Company 359,Manufacturing,India,269385487,13325
ACC000360,Company 360,Manufacturing,USA,286629137,7037
ACC000361,Company 361,Manufacturing,UK,46450361,10661
ACC000362,Company 362,Finance,India,93286491,1188
ACC000363,Company 363,Finance,United Kingdom,425894211,9716
ACC000364,Company 364,Finance,United Kingdom,452149668,35875
ACC000365,Company 365,Healthcare,U.S.,30713803,26245
ACC000366,Company 366,Healthcare,United Kingdom,186560508,7794
ACC000367,Company 367,Finance,Australia,419099454,22292
ACC000368,Company 368,Healthcare,India,315974435,5517
ACC000369,Company 369,Healthcare,U.S.,185903902,1671
ACC000370,Company 370,Healthcare,UK,481860094,23121
ACC000371,Company 371,Retail,UK,439918582,36465
ACC000372,Company 372,Finance,USA,483999526,26927
ACC000373,Company 373,Technology,USA,138169090,28051
ACC000374,Company 374,Finance,India,302122988,5339
ACC000375,Company 375,Healthcare,U.S.,60887546,10268
ACC000376,Company 376,Finance,Germany,309373186,27057
ACC000377,Company 377,Finance,Australia,290690208,26532
ACC000378,Company 378,Manufacturing,Australia,385139950,3808
ACC000379,Company 379,Healthcare,U.S.,139929946,17795
ACC000380,Company 380,Technology,U.S.,309419941,44757
ACC000381,Company 381,Manufacturing,United States,369017110,14127
ACC000382,Company 382,Technology,USA,259302649,7301
ACC000383,Company 383,Retail,USA,134375440,35128
ACC000384,Company 384,Manufacturing,Germany,244494433,44384
ACC000385,Company 385,Technology,U.S.,476020119,12815
ACC000386,Company 386,Healthcare,Germany,317363875,37919
ACC000387,Company 387,Healthcare,United Kingdom,167040725,8341
ACC000388,Company 388,Healthcare,Australia,270326286,27620
ACC000389,Company 389,Retail,Germany,489702494,1920
ACC000390,Company 390,Retail,UK,351344303,44015
ACC000391,Company 391,Finance,UK,236771683,32277
ACC000392,Company 392,Manufacturing,Germany,79484773,2364
ACC000393,Company 393,Manufacturing,India,371031742,36854
ACC000394,Company 394,Technology,USA,47152519,6407
ACC000395,Company 395,Manufacturing,United States,57668346,44605
ACC000396,Company 396,Retail,United States,23419356,25587
ACC000397,Company 397,Healthcare,United States,239190068,46743
ACC000398,Company 398,Healthcare,USA,476851748,23036
ACC000399,Company 399,Finance,Australia,407685173,22914
ACC000400,Company 400,Retail,Germany,140264869,40072
ACC000401,Company 401,Finance,UK,103910513,18015
ACC000402,Company 402,Manufacturing,Germany,233509662,47017
ACC000403,Company 403,Healthcare,United Kingdom,403642435,36295
ACC000404,Company 404,Retail,United Kingdom,275346490,40204
ACC000405,Company 405,Healthcare,India,72472199,253
ACC000406,Company 406,Healthcare,Germany,238391904,7950
ACC000407,Company 407,Technology,Australia,327062994,17235
ACC000408,Company 408,Retail,Australia,76496673,45914
ACC000409,Company 409,Technology,India,292241980,44268
ACC000410,Company 410,Finance,UK,97967620,42328
ACC000411,Company 411,Finance,Germany,385890868,9751
ACC000412,Company 412,Manufacturing,Australia,440764631,7640
ACC000413,Company 413,Retail,United Kingdom,456700838,32486
ACC000414,Company 414,Finance,Germany,180424479,42858
ACC000415,Company 415,Manufacturing,UK,310765386,6064
ACC000416,Company 416,Technology,UK,106802507,32893
ACC000417,Company 417,Healthcare,USA,345831862,27908
ACC000418,Company 418,Retail,U.S.,343577204,35082
ACC000419,Company 419,Retail,UK,112116983,23357
ACC000420,Company 420,Healthcare,United States,470558422,9577
ACC000421,Company 421,Manufacturing,U.S.,15658492,10254
ACC000422,Company 422,Manufacturing,U.S.,189059032,28609
ACC000423,Company 423,Technology,Germany,82574296,4151
ACC000424,Company 424,Technology,UK,378233220,5480
ACC000425,Company 425,Manufacturing,United Kingdom,458810619,38173
ACC000426,Company 426,Finance,United States,372890082,27741
ACC000427,Company 427,Manufacturing,Australia,205675541,30961
ACC000428,Company 428,Healthcare,United Kingdom,476888193,4567
ACC000429,Company 429,Retail,USA,219029879,34043
ACC000430,Company 430,Finance,Germany,96616326,25937
ACC000431,Company 431,Retail,Australia,117908041,16531
ACC000432,Company 432,Healthcare,U.S.,50507208,32718
ACC000433,Company 433,Healthcare,Germany,73815279,11937
ACC000434,Company 434,Finance,Australia,209218473,14316
ACC000435,Company 435,Finance,United Kingdom,438482102,32289
ACC000436,Company 436,Technology,UK,369626066,12026
ACC000437,Company 437,Manufacturing,Australia,354901630,37600
ACC000438,Company 438,Technology,India,269634986,11938
ACC000439,Company 439,Manufacturing,Germany,365571215,5199
ACC000440,Company 440,Technology,United Kingdom,323415674,31918
ACC000441,Company 441,Technology,United Kingdom,272726474,44208
ACC000442,Company 442,Retail,United Kingdom,194646463,33710
ACC000443,Company 443,Retail,United Kingdom,144311095,49365
ACC000444,Company 444,Healthcare,United Kingdom,363907661,46172
ACC000445,Company 445,Retail,United States,203304374,29680
ACC000446,Company 446,Healthcare,India,405554246,10439
ACC000447,Company 447,Healthcare,Germany,278457353,43672
ACC000448,Company 448,Healthcare,Australia,494918520,3810
ACC000449,Company 449,Healthcare,UK,429276167,22927
ACC000450,Company 450,Retail,United Kingdom,313665896,16016
ACC000451,Company 451,Finance,U.S.,304167238,48932
ACC000452,Company 452,Finance,United States,362820959,22968
ACC000453,Company 453,Finance,India,252816115,21902
ACC000454,Company 454,Manufacturing,USA,448254479,9868
ACC000455,Company 455,Retail,U.S.,97633510,31374
ACC000456,Company 456,Healthcare,India,92110067,26978
ACC000457,Company 457,Finance,USA,207445677,49268
ACC000458,Company 458,Finance,United States,120092086,34642
ACC000459,Company 459,Manufacturing,United Kingdom,418712621,45205
ACC000460,Company 460,Technology,Germany,103337204,16052
ACC000461,Company 461,Manufacturing,USA,90254021,20325
ACC000462,Company 462,Retail,India,181976082,14990
ACC000463,Company 463,Retail,Australia,499500867,404
ACC000464,Company 464,Retail,U.S.,345967654,19355
ACC000465,Company 465,Healthcare,Germany,286220240,30207
ACC000466,Company 466,Retail,United Kingdom,218461252,46245
ACC000467,Company 467,Technology,Australia,243640592,13300
ACC000468,Company 468,Technology,USA,52579849,13080
ACC000469,Company 469,Manufacturing,Germany,367149634,44377
ACC000470,Company 470,Healthcare,India,82967771,30578
ACC000471,Company 471,Healthcare,India,73278906,8419
ACC000472,Company 472,Finance,United Kingdom,29977878,4680
ACC000473,Company 473,Technology,Australia,280198275,182
ACC000474,Company 474,Technology,U.S.,331584853,36992
ACC000475,Company 475,Manufacturing,India,104040133,46200
ACC000476,Company 476,Manufacturing,UK,442135606,31024
ACC000477,Company 477,Retail,United Kingdom,369934283,34246
ACC000478,Company 478,Technology,United Kingdom,121517876,46001
ACC000479,Company 479,Retail,Australia,199261358,1120
ACC000480,Company 480,Manufacturing,UK,258215819,49983
ACC000481,Company 481,Healthcare,India,473160568,39699
ACC000482,Company 482,Technology,UK,222420411,17347
ACC000483,Company 483,Retail,U.S.,429621946,32647
ACC000484,Company 484,Retail,UK,341429861,3389
ACC000485,Company 485,Retail,Germany,336455979,15856
ACC000486,Company 486,Finance,UK,426808860,11182
ACC000487,Company 487,Finance,United Kingdom,196110179,29846
ACC000488,Company 488,Retail,United Kingdom,89762202,47260
ACC000489,Company 489,Manufacturing,United States,81847818,27786
ACC000490,Company 490,Finance,India,45221791,37644
ACC000491,Company 491,Finance,USA,293069750,36367
ACC000492,Company 492,Retail,Australia,214002433,15932
ACC000493,Company 493,Retail,Australia,268353843,32651
ACC000494,Company 494,Retail,USA,310694049,37981
ACC000495,Company 495,Technology,United States,166237046,21827
ACC000496,Company 496,Finance,United States,351429542,19251
ACC000497,Company 497,Healthcare,United Kingdom,458875506,39776
ACC000498,Company 498,Manufacturing,U.S.,409240422,31045
ACC000499,Company 499,Healthcare,United Kingdom,97069139,42494
ACC000500,Company 500,Healthcare,U.S.,471305840,39280
ACC000501,Company 501,Manufacturing,Germany,373047626,8378
ACC000502,Company 502,Retail,Germany,199803631,15693
ACC000503,Company 503,Healthcare,U.S.,191924605,20373
ACC000504,Company 504,Finance,Australia,332595744,47740
ACC000505,Company 505,Finance,USA,295278249,41706
ACC000506,Company 506,Manufacturing,United States,134720042,40890
ACC000507,Company 507,Healthcare,Australia,446819456,28742
ACC000508,Company 508,Manufacturing,UK,374413791,45572
ACC000509,Company 509,Healthcare,UK,20148166,5634
ACC000510,Company 510,Healthcare,United States,416518974,44690
ACC000511,Company 511,Finance,United Kingdom,392485489,20992
ACC000512,Company 512,Technology,USA,383928028,29209
ACC000513,Company 513,Finance,Australia,53609950,43592
ACC000514,Company 514,Finance,Australia,12315754,43561
ACC000515,Company 515,Finance,UK,67473532,24551
ACC000516,Company 516,Healthcare,UK,80627653,6599
ACC000517,Company 517,Technology,United States,156046841,20615
ACC000518,Company 518,Healthcare,India,106387348,9699
ACC000519,Company 519,Healthcare,Germany,475265888,7451
