lead_id,lead_name,source,status
LEA000106,Lead 105,LinkedIn,New
LEA000107,Lead 106,Referral,Working
LEA000108,Lead 107,LinkedIn,Converted
LEA000109,Lead 108,Referral,Converted
LEA000110,Lead 109,Event,New
LEA000111,Lead 110,Event,New
LEA000112,Lead 111,LinkedIn,Working
LEA000113,Lead 112,Referral,Converted
LEA000114,Lead 113,Web,New
LEA000115,Lead 114,Web,Working
LEA000116,Lead 115,Event,Converted
LEA000117,Lead 116,Event,Converted
LEA000118,Lead 117,Event,Qualified
LEA000119,Lead 118,LinkedIn,Converted
LEA000120,Lead 119,Event,New
LEA000121,Lead 120,Web,Working
LEA000122,Lead 121,LinkedIn,New
LEA000123,Lead 122,Referral,Working
LEA000124,Lead 123,Event,Converted
LEA000125,Lead 124,Referral,New
LEA000126,Lead 125,Web,Working
LEA000127,Lead 126,Event,Converted
LEA000128,Lead 127,Event,Converted
LEA000129,Lead 128,Referral,Working
LEA000130,Lead 129,Event,Qualified
LEA000131,Lead 130,Referral,Working
LEA000132,Lead 131,Referral,Working
LEA000133,Lead 132,Referral,Converted
LEA000134,Lead 133,Web,New
LEA000135,Lead 134,Event,Working
LEA000136,Lead 135,Referral,New
LEA000137,Lead 136,Event,Converted
LEA000138,Lead 137,Referral,New
LEA000139,Lead 138,Web,New
LEA000140,Lead 139,Referral,Working
LEA000141,Lead 140,LinkedIn,Converted
LEA000142,Lead 141,LinkedIn,Qualified
LEA000143,Lead 142,Web,Working
LEA000144,Lead 143,Web,Working
LEA000145,Lead 144,LinkedIn,Qualified
LEA000146,Lead 145,Web,Working
LEA000147,Lead 146,Web,New
LEA000148,Lead 147,Event,Working
LEA000149,Lead 148,LinkedIn,Converted
LEA000150,Lead 149,LinkedIn,New
LEA000151,Lead 150,LinkedIn,Qualified
LEA000152,Lead 151,Referral,Converted
LEA000153,Lead 152,Referral,Qualified
LEA000154,Lead 153,Referral,Working
LEA000155,Lead 154,LinkedIn,New
LEA000156,Lead 155,LinkedIn,Working
LEA000157,Lead 156,Event,Converted
LEA000158,Lead 157,LinkedIn,Working
LEA000159,Lead 158,Referral,New
LEA000160,Lead 159,Referral,Qualified
LEA000161,Lead 160,Referral,Qualified
LEA000162,Lead 161,Referral,Converted
LEA000163,Lead 162,Referral,Working
LEA000164,Lead 163,LinkedIn,Working
LEA000165,Lead 164,Event,New
LEA000166,Lead 165,Referral,New
LEA000167,Lead 166,Event,Converted
LEA000168,Lead 167,LinkedIn,New
LEA000169,Lead 168,LinkedIn,New
LEA000170,Lead 169,Event,Working
LEA000171,Lead 170,Web,New
LEA000172,Lead 171,Referral,Working
LEA000173,Lead 172,Web,New
LEA000174,Lead 173,Referral,Working
LEA000175,Lead 174,Web,Qualified
LEA000176,Lead 175,Event,Qualified
LEA000177,Lead 176,Referral,Converted
LEA000178,Lead 177,LinkedIn,Converted
LEA000179,Lead 178,LinkedIn,New
LEA000180,Lead 179,LinkedIn,New
LEA000181,Lead 180,LinkedIn,Working
LEA000182,Lead 181,Web,Converted
LEA000183,Lead 182,Event,New
LEA000184,Lead 183,Web,New
LEA000185,Lead 184,Referral,Qualified
LEA000186,Lead 185,Event,Qualified
LEA000187,Lead 186,Referral,Qualified
LEA000188,Lead 187,LinkedIn,Working
LEA000189,Lead 188,LinkedIn,Qualified
LEA000190,Lead 189,LinkedIn,Converted
LEA000191,Lead 190,Referral,Converted
LEA000192,Lead 191,LinkedIn,New
LEA000193,Lead 192,Event,Converted
LEA000194,Lead 193,Referral,Converted
LEA000195,Lead 194,Referral,New
LEA000196,Lead 195,Event,New
LEA000197,Lead 196,Event,New
LEA000198,Lead 197,Event,Qualified
LEA000199,Lead 198,LinkedIn,New
LEA000200,Lead 199,LinkedIn,New
LEA000201,Lead 200,LinkedIn,Converted
LEA000202,Lead 201,Event,Working
LEA000203,Lead 202,Web,Qualified
LEA000204,Lead 203,LinkedIn,New
LEA000205,Lead 204,Event,Working
LEA000206,Lead 205,Web,Working
LEA000207,Lead 206,Event,Converted
LEA000208,Lead 207,Web,Working
LEA000209,Lead 208,LinkedIn,New
LEA000210,Lead 209,Event,Working
LEA000211,Lead 210,Web,Working
LEA000212,Lead 211,LinkedIn,Working
LEA000213,Lead 212,Web,New
LEA000214,Lead 213,Referral,Converted
LEA000215,Lead 214,Web,Converted
LEA000216,Lead 215,Web,Qualified
LEA000217,Lead 216,Referral,Converted
LEA000218,Lead 217,Referral,New
LEA000219,Lead 218,Referral,Converted
LEA000220,Lead 219,Web,Working
LEA000221,Lead 220,Web,Working
LEA000222,Lead 221,LinkedIn,New
LEA000223,Lead 222,Web,Converted
LEA000224,Lead 223,Event,Working
LEA000225,Lead 224,Event,Working
LEA000226,Lead 225,Event,New
LEA000227,Lead 226,Referral,Qualified
LEA000228,Lead 227,Event,Qualified
LEA000229,Lead 228,Event,Converted
LEA000230,Lead 229,Web,Qualified
LEA000231,Lead 230,Web,New
LEA000232,Lead 231,LinkedIn,Converted
LEA000233,Lead 232,Referral,Qualified
LEA000234,Lead 233,Web,Converted
LEA000235,Lead 234,Web,Working
LEA000236,Lead 235,LinkedIn,Converted
LEA000237,Lead 236,Web,Converted
LEA000238,Lead 237,Web,New
LEA000239,Lead 238,Referral,New
LEA000240,Lead 239,Event,New
LEA000241,Lead 240,Event,Qualified
LEA000242,Lead 241,Referral,Qualified
LEA000243,Lead 242,Event,Converted
LEA000244,Lead 243,Web,Working
LEA000245,Lead 244,Event,Working
LEA000246,Lead 245,Referral,Qualified
LEA000247,Lead 246,Referral,Qualified
LEA000248,Lead 247,LinkedIn,Qualified
LEA000249,Lead 248,LinkedIn,Working
LEA000250,Lead 249,Referral,Converted
LEA000251,Lead 250,Web,Working
LEA000252,Lead 251,LinkedIn,Working
LEA000253,Lead 252,Referral,Qualified
LEA000254,Lead 253,Referral,Converted
LEA000255,Lead 254,Referral,Converted
LEA000256,Lead 255,Web,Qualified
LEA000257,Lead 256,Referral,Converted
LEA000258,Lead 257,Referral,Qualified
LEA000259,Lead 258,LinkedIn,New
LEA000260,Lead 259,Web,Working
LEA000261,Lead 260,Referral,Working
LEA000262,Lead 261,Event,Converted
LEA000263,Lead 262,Referral,Working
LEA000264,Lead 263,Event,New
LEA000265,Lead 264,Referral,Qualified
LEA000266,Lead 265,Event,New
LEA000267,Lead 266,Web,Converted
LEA000268,Lead 267,Referral,Working
LEA000269,Lead 268,LinkedIn,Converted
LEA000270,Lead 269,Web,New
LEA000271,Lead 270,Event,New
LEA000272,Lead 271,LinkedIn,Working
LEA000273,Lead 272,LinkedIn,New
LEA000274,Lead 273,Referral,Converted
LEA000275,Lead 274,Referral,Converted
LEA000276,Lead 275,LinkedIn,Qualified
LEA000277,Lead 276,Referral,Working
LEA000278,Lead 277,Event,Converted
LEA000279,Lead 278,Referral,Working
LEA000280,Lead 279,Web,Working
LEA000281,Lead 280,Referral,Qualified
LEA000282,Lead 281,LinkedIn,Converted
LEA000283,Lead 282,Event,Qualified
LEA000284,Lead 283,Event,Qualified
LEA000285,Lead 284,Referral,New
LEA000286,Lead 285,Event,Working
LEA000287,Lead 286,Referral,Working
LEA000288,Lead 287,Event,Qualified
LEA000289,Lead 288,LinkedIn,Converted
LEA000290,Lead 289,LinkedIn,New
LEA000291,Lead 290,LinkedIn,New
LEA000292,Lead 291,Web,Qualified
LEA000293,Lead 292,Web,Working
LEA000294,Lead 293,LinkedIn,Converted
LEA000295,Lead 294,Web,Converted
LEA000296,Lead 295,Web,New
LEA000297,Lead 296,Referral,Qualified
LEA000298,Lead 297,Event,Qualified
LEA000299,Lead 298,Event,Working
LEA000300,Lead 299,Web,Converted
LEA000301,Lead 300,Event,Working
LEA000302,Lead 301,Referral,New
LEA000303,Lead 302,Web,New
LEA000304,Lead 303,Referral,New
LEA000305,Lead 304,Referral,Qualified
LEA000306,Lead 305,LinkedIn,Working
LEA000307,Lead 306,Event,Converted
LEA000308,Lead 307,Referral,New
LEA000309,Lead 308,Referral,New
LEA000310,Lead 309,Event,Qualified
LEA000311,Lead 310,Referral,Converted
LEA000312,Lead 311,LinkedIn,Converted
LEA000313,Lead 312,Referral,Qualified
LEA000314,Lead 313,Referral,Qualified
LEA000315,Lead 314,LinkedIn,New
LEA000316,Lead 315,Event,Working
LEA000317,Lead 316,Referral,Qualified
LEA000318,Lead 317,Event,Qualified
LEA000319,Lead 318,Referral,Working
LEA000320,Lead 319,Referral,New
LEA000321,Lead 320,Web,New
LEA000322,Lead 321,LinkedIn,Qualified
LEA000323,Lead 322,LinkedIn,New
LEA000324,Lead 323,Web,Converted
LEA000325,Lead 324,Event,New
LEA000326,Lead 325,Referral,Converted
LEA000327,Lead 326,LinkedIn,Converted
LEA000328,Lead 327,Web,Qualified
LEA000329,Lead 328,Event,Working
LEA000330,Lead 329,Event,New
LEA000331,Lead 330,Event,Converted
LEA000332,Lead 331,Web,Working
LEA000333,Lead 332,LinkedIn,Qualified
LEA000334,Lead 333,Referral,New
LEA000335,Lead 334,Web,New
LEA000336,Lead 335,Web,New
LEA000337,Lead 336,LinkedIn,Qualified
LEA000338,Lead 337,LinkedIn,Working
LEA000339,Lead 338,Referral,Converted
LEA000340,Lead 339,Web,Qualified
LEA000341,Lead 340,Event,Qualified
LEA000342,Lead 341,Web,Converted
LEA000343,Lead 342,Event,Qualified
LEA000344,Lead 343,LinkedIn,Converted
LEA000345,Lead 344,Referral,New
LEA000346,Lead 345,Event,New
LEA000347,Lead 346,LinkedIn,Working
LEA000348,Lead 347,Event,New
LEA000349,Lead 348,LinkedIn,Qualified
LEA000350,Lead 349,Event,Working
LEA000351,Lead 350,Referral,New
LEA000352,Lead 351,Referral,Converted
LEA000353,Lead 352,Event,Qualified
LEA000354,Lead 353,LinkedIn,New
LEA000355,Lead 354,Event,Working
LEA000356,Lead 355,Referral,Working
LEA000357,Lead 356,Event,Qualified
LEA000358,Lead 357,Referral,Qualified
LEA000359,Lead 358,LinkedIn,New
LEA000360,Lead 359,LinkedIn,Qualified
LEA000361,Lead 360,Referral,Working
LEA000362,Lead 361,Referral,Working
LEA000363,Lead 362,Event,New
LEA000364,Lead 363,Web,Working
LEA000365,Lead 364,Event,Converted
LEA000366,Lead 365,Referral,New
LEA000367,Lead 366,Web,New
LEA000368,Lead 367,LinkedIn,New
LEA000369,Lead 368,Referral,Converted
LEA000370,Lead 369,Referral,Qualified
LEA000371,Lead 370,Referral,New
LEA000372,Lead 371,Event,Qualified
LEA000373,Lead 372,Referral,Working
LEA000374,Lead 373,LinkedIn,Converted
LEA000375,Lead 374,Referral,Working
LEA000376,Lead 375,LinkedIn,New
LEA000377,Lead 376,Referral,Qualified
LEA000378,Lead 377,Web,New
LEA000379,Lead 378,Event,New
LEA000380,Lead 379,LinkedIn,Converted
LEA000381,Lead 380,LinkedIn,New
LEA000382,Lead 381,Event,New
LEA000383,Lead 382,Referral,New
LEA000384,Lead 383,Event,Qualified
LEA000385,Lead 384,LinkedIn,Converted
LEA000386,Lead 385,LinkedIn,Converted
LEA000387,Lead 386,Event,Converted
LEA000388,Lead 387,LinkedIn,Converted
LEA000389,Lead 388,Web,Qualified
LEA000390,Lead 389,Web,Converted
LEA000391,Lead 390,Referral,Working
LEA000392,Lead 391,Event,New
LEA000393,Lead 392,LinkedIn,Converted
LEA000394,Lead 393,Web,New
LEA000395,Lead 394,Referral,Qualified
LEA000396,Lead 395,LinkedIn,Qualified
LEA000397,Lead 396,Event,Qualified
LEA000398,Lead 397,Web,Qualified
LEA000399,Lead 398,Event,Converted
LEA000400,Lead 399,Referral,Qualified
LEA000401,Lead 400,LinkedIn,Converted
LEA000402,Lead 401,Web,Working
LEA000403,Lead 402,Referral,New
LEA000404,Lead 403,Referral,Converted
LEA000405,Lead 404,Event,Working
LEA000406,Lead 405,Referral,Working
LEA000407,Lead 406,Event,Working
LEA000408,Lead 407,LinkedIn,Working
LEA000409,Lead 408,Event,New
LEA000410,Lead 409,LinkedIn,New
LEA000411,Lead 410,Referral,New
LEA000412,Lead 411,Event,New
LEA000413,Lead 412,Referral,Converted
LEA000414,Lead 413,Event,New
LEA000415,Lead 414,Web,New
LEA000416,Lead 415,Event,Converted
LEA000417,Lead 416,Event,New
LEA000418,Lead 417,LinkedIn,Converted
LEA000419,Lead 418,LinkedIn,Converted
LEA000420,Lead 419,Web,Qualified
LEA000421,Lead 420,Event,Working
LEA000422,Lead 421,Referral,Converted
LEA000423,Lead 422,Referral,New
LEA000424,Lead 423,Event,Qualified
LEA000425,Lead 424,Referral,New
LEA000426,Lead 425,Web,Working
LEA000427,Lead 426,Referral,New
LEA000428,Lead 427,Referral,Converted
LEA000429,Lead 428,Event,Working
LEA000430,Lead 429,Web,Converted
LEA000431,Lead 430,Event,New
LEA000432,Lead 431,Referral,New
LEA000433,Lead 432,Referral,Qualified
LEA000434,Lead 433,Web,Qualified
LEA000435,Lead 434,Event,Working
LEA000436,Lead 435,Web,New
LEA000437,Lead 436,LinkedIn,Qualified
LEA000438,Lead 437,Event,Qualified
LEA000439,Lead 438,LinkedIn,New
LEA000440,Lead 439,Web,Qualified
LEA000441,Lead 440,Event,New
LEA000442,Lead 441,Event,Converted
LEA000443,Lead 442,Web,New
LEA000444,Lead 443,Referral,Working
LEA000445,Lead 444,Web,Converted
LEA000446,Lead 445,Referral,New
LEA000447,Lead 446,Web,Converted
LEA000448,Lead 447,Referral,New
LEA000449,Lead 448,Web,Converted
LEA000450,Lead 449,LinkedIn,Converted
LEA000451,Lead 450,Web,Working
LEA000452,Lead 451,Web,Qualified
LEA000453,Lead 452,Referral,New
LEA000454,Lead 453,LinkedIn,Working
LEA000455,Lead 454,Web,Working
LEA000456,Lead 455,LinkedIn,New
LEA000457,Lead 456,LinkedIn,Working
LEA000458,Lead 457,Event,New
LEA000459,Lead 458,Event,Working
LEA000460,Lead 459,Referral,Converted
LEA000461,Lead 460,Referral,Working
LEA000462,Lead 461,Event,Qualified
LEA000463,Lead 462,Event,Converted
LEA000464,Lead 463,Event,Converted
LEA000465,Lead 464,LinkedIn,Qualified
LEA000466,Lead 465,LinkedIn,Working
LEA000467,Lead 466,LinkedIn,Working
LEA000468,Lead 467,Event,New
LEA000469,Lead 468,Referral,Working
LEA000470,Lead 469,Referral,Qualified
LEA000471,Lead 470,LinkedIn,Converted
LEA000472,Lead 471,Event,Qualified
LEA000473,Lead 472,LinkedIn,Working
LEA000474,Lead 473,Referral,New
LEA000475,Lead 474,Event,Converted
LEA000476,Lead 475,LinkedIn,Qualified
LEA000477,Lead 476,Web,Working
LEA000478,Lead 477,Referral,Converted
LEA000479,Lead 478,LinkedIn,Converted
LEA000480,Lead 479,Web,Working
LEA000481,Lead 480,Event,Working
LEA000482,Lead 481,Event,Qualified
LEA000483,Lead 482,Event,Qualified
LEA000484,Lead 483,LinkedIn,Qualified
LEA000485,Lead 484,LinkedIn,Working
LEA000486,Lead 485,Event,Converted
LEA000487,Lead 486,LinkedIn,New
LEA000488,Lead 487,Web,Qualified
LEA000489,Lead 488,Web,Qualified
LEA000490,Lead 489,Web,Qualified
LEA000491,Lead 490,Referral,Qualified
LEA000492,Lead 491,Event,Working
LEA000493,Lead 492,Event,Qualified
LEA000494,Lead 493,Event,Qualified
LEA000495,Lead 494,Referral,New
LEA000496,Lead 495,LinkedIn,Working
LEA000497,Lead 496,Referral,New
LEA000498,Lead 497,Event,Converted
LEA000499,Lead 498,Event,Converted
LEA000500,Lead 499,Referral,Working
LEA000501,Lead 500,LinkedIn,Converted
LEA000502,Lead 501,Referral,Converted
LEA000503,Lead 502,LinkedIn,Qualified
LEA000504,Lead 503,Event,Working
LEA000505,Lead 504,LinkedIn,Qualified
LEA000506,Lead 505,Web,Qualified
LEA000507,Lead 506,Referral,Qualified
LEA000508,Lead 507,Referral,Working
LEA000509,Lead 508,LinkedIn,Converted
LEA000510,Lead 509,LinkedIn,Working
LEA000511,Lead 510,Referral,Working
LEA000512,Lead 511,LinkedIn,New
LEA000513,Lead 512,Web,Qualified
LEA000514,Lead 513,LinkedIn,Working
LEA000515,Lead 514,LinkedIn,Converted
LEA000516,Lead 515,Web,New
LEA000517,Lead 516,LinkedIn,New
LEA000518,Lead 517,LinkedIn,Converted
LEA000519,Lead 518,LinkedIn,Converted
LEA000520,Lead 519,Web,Converted
LEA000521,Lead 520,LinkedIn,Converted
LEA000522,Lead 521,Referral,Working
LEA000523,Lead 522,Event,Qualified
LEA000524,Lead 523,LinkedIn,Converted
LEA000525,Lead 524,Web,Converted
LEA000526,Lead 525,LinkedIn,Qualified
LEA000527,Lead 526,Referral,Working
LEA000528,Lead 527,Event,New
LEA000529,Lead 528,Web,Converted
LEA000530,Lead 529,Referral,Qualified
LEA000531,Lead 530,LinkedIn,Converted
LEA000532,Lead 531,Event,New
LEA000533,Lead 532,LinkedIn,Converted
LEA000534,Lead 533,Event,Qualified
LEA000535,Lead 534,LinkedIn,Qualified
LEA000536,Lead 535,LinkedIn,Converted
LEA000537,Lead 536,Referral,New
LEA000538,Lead 537,Referral,Converted
LEA000539,Lead 538,LinkedIn,New
LEA000540,Lead 539,Event,Converted
LEA000541,Lead 540,Web,Working
LEA000542,Lead 541,LinkedIn,New
LEA000543,Lead 542,Event,New
LEA000544,Lead 543,Web,New
LEA000545,Lead 544,Event,Converted
LEA000546,Lead 545,Referral,New
LEA000547,Lead 546,Event,Working
LEA000548,Lead 547,Event,Converted
LEA000549,Lead 548,Referral,New
LEA000550,Lead 549,Referral,Qualified
LEA000551,Lead 550,Web,Working
LEA000552,Lead 551,Event,New
LEA000553,Lead 552,Web,Converted
LEA000554,Lead 553,Referral,New
LEA000555,Lead 554,LinkedIn,Qualified
LEA000556,Lead 555,Web,Qualified
LEA000557,Lead 556,LinkedIn,New
LEA000558,Lead 557,Referral,Converted
LEA000559,Lead 558,Referral,Working
LEA000560,Lead 559,Referral,Qualified
LEA000561,Lead 560,Web,New
LEA000562,Lead 561,Event,Qualified
LEA000563,Lead 562,Referral,Working
LEA000564,Lead 563,LinkedIn,Working
LEA000565,Lead 564,LinkedIn,New
LEA000566,Lead 565,LinkedIn,Working
LEA000567,Lead 566,Event,New
LEA000568,Lead 567,Event,Qualified
LEA000569,Lead 568,Web,Qualified
LEA000570,Lead 569,Referral,New
LEA000571,Lead 570,Event,Working
LEA000572,Lead 571,Referral,Qualified
LEA000573,Lead 572,Event,New
LEA000574,Lead 573,LinkedIn,Working
LEA000575,Lead 574,Referral,Converted
LEA000576,Lead 575,Referral,New
LEA000577,Lead 576,Referral,Qualified
LEA000578,Lead 577,Referral,Converted
LEA000579,Lead 578,Referral,Working
LEA000580,Lead 579,LinkedIn,Working
LEA000581,Lead 580,Event,Qualified
LEA000582,Lead 581,LinkedIn,Qualified
LEA000583,Lead 582,Referral,Working
LEA000584,Lead 583,Event,Qualified
LEA000585,Lead 584,Web,Converted
LEA000586,Lead 585,LinkedIn,Qualified
LEA000587,Lead 586,Referral,Working
LEA000588,Lead 587,Web,Qualified
LEA000589,Lead 588,Event,New
LEA000590,Lead 589,Event,Working
LEA000591,Lead 590,Referral,Qualified
LEA000592,Lead 591,Referral,Qualified
LEA000593,Lead 592,Web,Converted
LEA000594,Lead 593,Referral,Working
LEA000595,Lead 594,Event,New
LEA000596,Lead 595,Event,Converted
LEA000597,Lead 596,Event,Working
LEA000598,Lead 597,LinkedIn,Converted
LEA000599,Lead 598,LinkedIn,Qualified
LEA000600,Lead 599,Event,Converted
LEA000601,Lead 600,Event,New
LEA000602,Lead 601,LinkedIn,Qualified
LEA000603,Lead 602,LinkedIn,Working
LEA000604,Lead 603,Referral,New
LEA000605,Lead 604,LinkedIn,New
LEA000606,Lead 605,LinkedIn,New
LEA000607,Lead 606,LinkedIn,Converted
LEA000608,Lead 607,Referral,Converted
LEA000609,Lead 608,LinkedIn,New
LEA000610,Lead 609,LinkedIn,Converted
LEA000611,Lead 610,Referral,Working
LEA000612,Lead 611,Web,New
LEA000613,Lead 612,Web,Converted
LEA000614,Lead 613,Web,Converted
LEA000615,Lead 614,Referral,Converted
LEA000616,Lead 615,Referral,Qualified
LEA000617,Lead 616,Referral,Qualified
LEA000618,Lead 617,LinkedIn,Qualified
LEA000619,Lead 618,Event,Working
LEA000620,Lead 619,Referral,Working
LEA000621,Lead 620,Event,Converted
LEA000622,Lead 621,LinkedIn,Working
LEA000623,Lead 622,Referral,Converted
LEA000624,Lead 623,Referral,Working
LEA000625,Lead 624,LinkedIn,New
LEA000626,Lead 625,Event,Working
LEA000627,Lead 626,Event,Working
LEA000628,Lead 627,Event,Working
LEA000629,Lead 628,Web,Working
LEA000630,Lead 629,Web,Qualified
LEA000631,Lead 630,Event,Converted
LEA000632,Lead 631,Referral,New
LEA000633,Lead 632,Referral,New
LEA000634,Lead 633,Event,New
LEA000635,Lead 634,Web,Working
LEA000636,Lead 635,Web,Converted
LEA000637,Lead 636,LinkedIn,Converted
LEA000638,Lead 637,Referral,Converted
LEA000639,Lead 638,Referral,Working
LEA000640,Lead 639,Referral,Qualified
LEA000641,Lead 640,LinkedIn,Converted
LEA000642,Lead 641,Web,Converted
LEA000643,Lead 642,LinkedIn,Working
LEA000644,Lead 643,Event,Qualified
LEA000645,Lead 644,LinkedIn,Working
LEA000646,Lead 645,LinkedIn,Working
LEA000647,Lead 646,Event,Working
LEA000648,Lead 647,Web,Working
LEA000649,Lead 648,LinkedIn,Qualified
LEA000650,Lead 649,LinkedIn,New
LEA000651,Lead 650,Referral,Converted
LEA000652,Lead 651,Event,Qualified
LEA000653,Lead 652,LinkedIn,Working
LEA000654,Lead 653,Event,New
LEA000655,Lead 654,Web,Working
LEA000656,Lead 655,Event,Qualified
LEA000657,Lead 656,Referral,Qualified
LEA000658,Lead 657,Event,New
LEA000659,Lead 658,Event,Qualified
LEA000660,Lead 659,Web,Converted
LEA000661,Lead 660,Web,Qualified
LEA000662,Lead 661,Event,New
LEA000663,Lead 662,Web,New
LEA000664,Lead 663,Event,Converted
LEA000665,Lead 664,Web,Converted
LEA000666,Lead 665,Event,Qualified
LEA000667,Lead 666,Web,Converted
LEA000668,Lead 667,Event,Qualified
LEA000669,Lead 668,Referral,Converted
LEA000670,Lead 669,Web,Qualified
LEA000671,Lead 670,Web,Converted
LEA000672,Lead 671,Web,Working
LEA000673,Lead 672,Referral,New
LEA000674,Lead 673,Event,New
LEA000675,Lead 674,Event,New
LEA000676,Lead 675,LinkedIn,Converted
LEA000677,Lead 676,Web,Converted
LEA000678,Lead 677,Web,New
LEA000679,Lead 678,Referral,Qualified
LEA000680,Lead 679,Event,Working
LEA000681,Lead 680,Referral,Converted
LEA000682,Lead 681,Referral,New
LEA000683,Lead 682,Web,Converted
LEA000684,Lead 683,Event,Converted
LEA000685,Lead 684,Web,New
LEA000686,Lead 685,Referral,Working
LEA000687,Lead 686,LinkedIn,Working
LEA000688,Lead 687,Referral,Converted
LEA000689,Lead 688,Referral,New
LEA000690,Lead 689,Referral,New
LEA000691,Lead 690,Referral,Converted
LEA000692,Lead 691,Web,New
LEA000693,Lead 692,Web,Working
LEA000694,Lead 693,Referral,New
LEA000695,Lead 694,Referral,Working
LEA000696,Lead 695,Referral,Working
LEA000697,Lead 696,Web,New
LEA000698,Lead 697,Event,Converted
LEA000699,Lead 698,Web,New
LEA000700,Lead 699,Web,Working
LEA000701,Lead 700,Event,Converted
LEA000702,Lead 701,Web,Working
LEA000703,Lead 702,Web,Working
LEA000704,Lead 703,Referral,Converted
LEA000705,Lead 704,LinkedIn,New
LEA000706,Lead 705,Event,New
LEA000707,Lead 706,LinkedIn,New
LEA000708,Lead 707,Event,Converted
LEA000709,Lead 708,Event,Working
